Defense,Offense,Quarter,Down,Drive_number,Play_number,Play_type,Yard_line,Distance,Yards_gained,Yards_to_goal,Scoring,Away,Clock,Defense_conference,Defense_score,Defense_timeouts,Drive_id,Game_id,Home,ID,Offense_conference,Offense_score,Offense_timeouts,Play_text,Wall_clock,Year,Week,Season,Who_scored,Yards_to_success,Success,TD_first,Score_drive,Runner,Passer,Receiver,Interceptor,Tackler,Forcer,Fumbler,Recoverer,PAT_kicker,PAT_type,Two_point,Two_point_type,Two_point_runner,Two_point_passer,Two_point_receiver,Kicker,Kick_type,Returner,Blocker,FG_type,Punter,Punt_type,Timeout_team,Timeout_time,Penalty1_type,Penalty1_status,Penalty1_team,Penalty1_transgressor,Penalty2_type,Penalty2_status,Penalty2_team,Penalty2_transgressor,Penalty3_type,Penalty3_status,Penalty3_team,Penalty3_transgressor
Kansas State,Alabama,1,1,1,1,Kickoff,65,10,17,65,false,Alabama,15:00,Big 12,0,3,4014420181,401442018,Kansas State,401442018101849902,SEC,0,3,"Will Reichard kickoff for 65 yds , Malik Knowles return for 17 yds to the KanSt 17",2022-12-31T17:11:34.000Z,2022,1,postseason,neither,5.0,Kickoff,true,false,,,,,,,,,,,,,,,,Will Reichard,returned,Malik Knowles,,,,,,,,,,,,,,,,,,
Alabama,Kansas State,1,1,1,2,Pass Reception,17,10,4,83,false,Alabama,14:15,SEC,0,3,4014420181,401442018,Kansas State,401442018101858401,Big 12,0,3,Will Howard pass complete to Kade Warner for 4 yds to the KanSt 21,2022-12-31T17:12:31.000Z,2022,1,postseason,neither,5.0,Unsuccessful,false,false,,Will Howard,Kade Warner,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alabama,Kansas State,1,2,1,3,Rush,21,6,5,79,false,Alabama,13:59,SEC,0,3,4014420181,401442018,Kansas State,401442018101864001,Big 12,0,3,Deuce Vaughn run for 5 yds to the KanSt 26,2022-12-31T17:12:52.000Z,2022,1,postseason,neither,4.199999999999999,Successful,false,false,Deuce Vaughn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alabama,Kansas State,1,3,1,4,Pass Reception,26,1,24,74,false,Alabama,13:28,SEC,0,3,4014420181,401442018,Kansas State,401442018101867101,Big 12,0,3,Will Howard pass complete to Ben Sinnott for 24 yds to the 50 yard line for a 1ST down,2022-12-31T17:13:25.000Z,2022,1,postseason,neither,1,Successful,true,false,,Will Howard,Ben Sinnott,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alabama,Kansas State,1,1,1,5,Rush,50,10,5,50,false,Alabama,13:20,SEC,0,3,4014420181,401442018,Kansas State,401442018101867901,Big 12,0,3,Deuce Vaughn run for 5 yds to the Alab 45,2022-12-31T17:13:30.000Z,2022,1,postseason,neither,5.0,Successful,false,false,Deuce Vaughn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alabama,Kansas State,1,2,1,6,Rush,55,5,2,45,false,Alabama,12:52,SEC,0,3,4014420181,401442018,Kansas State,401442018101874701,Big 12,0,3,Malik Knowles run for 2 yds to the Alab 43,2022-12-31T17:13:59.000Z,2022,1,postseason,neither,3.5,Unsuccessful,false,false,Malik Knowles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alabama,Kansas State,1,3,1,7,Pass Reception,57,3,4,43,false,Alabama,12:08,SEC,0,3,4014420181,401442018,Kansas State,401442018101879101,Big 12,0,3,Will Howard pass complete to Phillip Brooks for 4 yds to the Alab 39 for a 1ST down,2022-12-31T17:14:48.000Z,2022,1,postseason,neither,3,Successful,true,false,,Will Howard,Phillip Brooks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alabama,Kansas State,1,1,1,8,Pass Interception Return,61,10,0,39,false,Alabama,12:02,SEC,0,3,4014420181,401442018,Kansas State,401442018101879701,Big 12,0,3,Will Howard pass intercepted Jordan Battle return for no gain to the Alab 21,2022-12-31T17:16:00.000Z,2022,1,postseason,neither,5.0,Unsuccessful,false,false,,Will Howard,,Jordan Battle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kansas State,Alabama,1,1,2,1,Rush,79,10,0,79,false,Alabama,11:45,Big 12,0,3,4014420182,401442018,Kansas State,401442018101885401,SEC,0,3,Jahmyr Gibbs run for no gain to the Alab 21,2022-12-31T17:18:22.000Z,2022,1,postseason,neither,5.0,Unsuccessful,false,false,Jahmyr Gibbs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kansas State,Alabama,1,2,2,2,Pass Incompletion,79,10,0,79,false,Alabama,11:14,Big 12,0,3,4014420182,401442018,Kansas State,401442018101888502,SEC,0,3,Bryce Young pass incomplete,2022-12-31T17:18:56.000Z,2022,1,postseason,neither,7.0,Unsuccessful,false,false,,Bryce Young,No Data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
