Defense,Offense,Quarter,Down,Drive_number,Play_number,Play_type,Yard_line,Distance,Yards_gained,Yards_to_goal,Scoring,Away,Clock,Defense_conference,Defense_score,Defense_timeouts,Drive_id,Game_id,Home,ID,Offense_conference,Offense_score,Offense_timeouts,Play_text,Wall_clock,Year,Week,Season,Who_scored,Yards_to_success,Success,TD_first,Score_drive,Runner,Passer,Receiver,Interceptor,Tackler,Forcer,Fumbler,Recoverer,PAT_kicker,PAT_type,Two_point,Two_point_type,Two_point_runner,Two_point_passer,Two_point_receiver,Kicker,Kick_type,Returner,Blocker,FG_type,Punter,Punt_type,Timeout_team,Timeout_time,Penalty1_type,Penalty1_status,Penalty1_team,Penalty1_transgressor,Penalty2_type,Penalty2_status,Penalty2_team,Penalty2_transgressor,Penalty3_type,Penalty3_status,Penalty3_team,Penalty3_transgressor
Alabama,Louisiana Monroe,1,1,1,1,Kickoff,65,10,0,65,false,Louisiana Monroe,15:00,SEC,0,3,4014038801,401403880,Alabama,4.0140388010185e17,Sun Belt,0,3,Calum Sutherland kickoff for 65 yds for a touchback,2022-09-17T20:01:46.000Z,2022,3,regular,neither,5.0,Kickoff,false,true,,,,,,,,,,,,,,,,Calum Sutherland,touchback,No data,,,,,,,,,,,,,,,,,,
Louisiana Monroe,Alabama,1,1,1,2,Penalty,25,10,-5,75,false,Louisiana Monroe,14:55,Sun Belt,0,3,4014038801,401403880,Alabama,4.01403880101854e17,SEC,0,3,"ALABAMA Penalty, Illegal Formation (-5 Yards) to the Alab 20",2022-09-17T20:03:09.000Z,2022,3,regular,neither,5.0,Penalty,false,true,,,,,,,,,,,,,,,,,,,,,,,,,Illegal Formation,enforced,Alabama,No data,,,,,,,,
Louisiana Monroe,Alabama,1,1,1,3,Rush,20,15,1,80,false,Louisiana Monroe,14:24,Sun Belt,0,3,4014038801,401403880,Alabama,4.01403880101857e17,SEC,0,3,Jahmyr Gibbs run for 1 yd to the Alab 21,2022-09-17T20:03:42.000Z,2022,3,regular,neither,7.5,Unsuccessful,false,true,Jahmyr Gibbs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Louisiana Monroe,Alabama,1,2,1,4,Pass Reception,21,14,29,79,false,Louisiana Monroe,13:55,Sun Belt,0,3,4014038801,401403880,Alabama,4.01403880101864e17,SEC,0,3,Bryce Young pass complete to Ja'Corey Brooks for 29 yds to the 50 yard line for a 1ST down,2022-09-17T20:04:17.000Z,2022,3,regular,neither,9.799999999999999,Successful,true,true,,Bryce Young,Ja'Corey Brooks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Louisiana Monroe,Alabama,1,1,1,5,Rush,50,10,17,50,false,Louisiana Monroe,13:36,Sun Belt,0,3,4014038801,401403880,Alabama,4.01403880101866e17,SEC,0,3,Jahmyr Gibbs run for 17 yds to the LaMon 33 for a 1ST down,2022-09-17T20:04:36.000Z,2022,3,regular,neither,5.0,Successful,true,true,Jahmyr Gibbs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Louisiana Monroe,Alabama,1,1,1,6,Passing Touchdown,67,10,33,33,true,Louisiana Monroe,13:12,Sun Belt,0,3,4014038801,401403880,Alabama,4.01403880101869e17,SEC,7,3,Traeshon Holden 33 Yd pass from Bryce Young (Will Reichard Kick),2022-09-17T20:05:33.000Z,2022,3,regular,offense,5.0,Successful,true,true,,Bryce Young,Traeshon Holden,,,,,,Will Reichard,made,,,,,,,,,,,,,,,,,,,,,,,,,,
Louisiana Monroe,Alabama,1,1,2,1,Kickoff,35,10,0,65,false,Louisiana Monroe,13:12,Sun Belt,0,3,4014038802,401403880,Alabama,4.01403880101869e17,SEC,7,3,Will Reichard kickoff for 65 yds for a touchback,2022-09-17T20:05:33.000Z,2022,3,regular,neither,5.0,Kickoff,false,false,,,,,,,,,,,,,,,,Will Reichard,touchback,No data,,,,,,,,,,,,,,,,,,
Alabama,Louisiana Monroe,1,1,2,2,Pass Reception,75,10,12,75,false,Louisiana Monroe,12:58,SEC,7,3,4014038802,401403880,Alabama,4.01403880101874e17,Sun Belt,0,3,Chandler Rogers pass complete to Zach Rasmussen for 12 yds to the LaMon 37 for a 1ST down,2022-09-17T20:09:46.000Z,2022,3,regular,neither,5.0,Successful,true,false,,Chandler Rogers,Zach Rasmussen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alabama,Louisiana Monroe,1,1,2,3,Rush,63,10,0,63,false,Louisiana Monroe,12:12,SEC,7,3,4014038802,401403880,Alabama,4.01403880101879e17,Sun Belt,0,3,Malik Jackson run for no gain to the LaMon 37,2022-09-17T20:10:30.000Z,2022,3,regular,neither,5.0,Unsuccessful,false,false,Malik Jackson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alabama,Louisiana Monroe,1,2,2,4,Pass Incompletion,63,10,0,63,false,Louisiana Monroe,11:52,SEC,7,3,4014038802,401403880,Alabama,4.01403880101885e17,Sun Belt,0,3,Chandler Rogers pass incomplete,2022-09-17T20:10:55.000Z,2022,3,regular,neither,7.0,Unsuccessful,false,false,,Chandler Rogers,No Data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alabama,Louisiana Monroe,1,3,2,5,Pass Incompletion,63,10,0,63,false,Louisiana Monroe,11:47,SEC,7,3,4014038802,401403880,Alabama,4.01403880101885e17,Sun Belt,0,3,Chandler Rogers pass incomplete,2022-09-17T20:11:45.000Z,2022,3,regular,neither,10,Unsuccessful,false,false,,Chandler Rogers,No Data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alabama,Louisiana Monroe,1,4,2,6,Punt,63,10,0,63,false,Louisiana Monroe,11:47,SEC,7,3,4014038802,401403880,Alabama,4.01403880101885e17,Sun Belt,0,3,"Devyn McCormick punt for 40 yds, punt out-of-bounds at the Alab 23",2022-09-17T20:12:40.000Z,2022,3,regular,neither,10,Punt,false,false,,,,,,,,,,,,,,,,,,,,,Devyn McCormick,out-of-bounds,,,,,,,,,,,,,,
