Year,Week,School,Conference,TotalPenalties,TotalPenaltiesYards,Opponent,HomeAway,Season
2023,1,Air Force,Mountain West,2,10,Robert Morris,home,regular
2023,1,Temple,American Athletic,3,15,Akron,home,regular
2023,1,Akron,Mid-American,10,82,Temple,away,regular
2023,1,Alabama,SEC,2,19,Middle Tennessee,home,regular
2023,1,Middle Tennessee,Conference USA,9,84,Alabama,away,regular
2023,1,Appalachian State,Sun Belt,2,20,Gardner-Webb,home,regular
2023,1,Arizona,Pac-12,11,91,Northern Arizona,home,regular
2023,1,Arizona State,Pac-12,9,100,Southern Utah,home,regular
2023,1,Arkansas,SEC,7,86,Western Carolina,home,regular
2023,1,Oklahoma,Big 12,6,65,Arkansas State,home,regular
2023,1,Arkansas State,Sun Belt,14,111,Oklahoma,away,regular
2023,1,Army,FBS Independents,3,35,Louisiana Monroe,away,regular
2023,1,Louisiana Monroe,Sun Belt,5,35,Army,home,regular
2023,1,Auburn,SEC,4,40,UMass,home,regular
2023,1,UMass,FBS Independents,9,73,Auburn,away,regular
2023,1,Kentucky,SEC,7,51,Ball State,home,regular
2023,1,Ball State,Mid-American,4,26,Kentucky,away,regular
2023,1,Baylor,Big 12,9,45,Texas State,home,regular
2023,1,Texas State,Sun Belt,4,31,Baylor,away,regular
2023,1,Boise State,Mountain West,3,29,Washington,away,regular
2023,1,Washington,Pac-12,5,60,Boise State,home,regular
2023,1,Boston College,ACC,10,93,Northern Illinois,home,regular
2023,1,Northern Illinois,Mid-American,4,35,Boston College,away,regular
2023,1,Bowling Green,Mid-American,9,86,Liberty,away,regular
2023,1,Liberty,Conference USA,4,51,Bowling Green,home,regular
2023,1,Wisconsin,Big Ten,3,30,Buffalo,home,regular
2023,1,Buffalo,Mid-American,6,70,Wisconsin,away,regular
2023,1,BYU,Big 12,8,66,Sam Houston State,home,regular
2023,1,Sam Houston State,Conference USA,7,47,BYU,away,regular
2023,1,California,Pac-12,8,60,North Texas,away,regular
2023,1,North Texas,American Athletic,2,20,California,home,regular
2023,1,Michigan State,Big Ten,8,66,Central Michigan,home,regular
2023,1,Central Michigan,Mid-American,7,75,Michigan State,away,regular
2023,1,Charlotte,American Athletic,6,39,South Carolina State,home,regular
2023,1,Cincinnati,Big 12,7,55,Eastern Kentucky,home,regular
2023,1,Duke,ACC,7,45,Clemson,home,regular
2023,1,Clemson,ACC,1,5,Duke,away,regular
2023,1,UCLA,Pac-12,8,55,Coastal Carolina,home,regular
2023,1,Coastal Carolina,Sun Belt,3,45,UCLA,away,regular
2023,1,Colorado,Pac-12,6,35,TCU,away,regular
2023,1,TCU,Big 12,10,78,Colorado,home,regular
2023,1,Colorado State,Mountain West,4,40,Washington State,home,regular
2023,1,Washington State,Pac-12,3,20,Colorado State,away,regular
2023,1,Connecticut,FBS Independents,6,61,NC State,home,regular
2023,1,NC State,ACC,1,5,Connecticut,away,regular
2023,1,Michigan,Big Ten,5,35,East Carolina,home,regular
2023,1,East Carolina,American Athletic,10,88,Michigan,away,regular
2023,1,Eastern Michigan,Mid-American,6,79,Howard,home,regular
2023,1,Florida,SEC,9,46,Utah,away,regular
2023,1,Utah,Pac-12,5,37,Florida,home,regular
2023,1,Florida Atlantic,American Athletic,3,33,Monmouth,home,regular
2023,1,Florida State,ACC,7,64,LSU,home,regular
2023,1,LSU,SEC,2,30,Florida State,away,regular
2023,1,Fresno State,Mountain West,7,66,Purdue,away,regular
2023,1,Purdue,Big Ten,4,35,Fresno State,home,regular
2023,1,Georgia,SEC,5,42,UT Martin,home,regular
2023,1,Georgia Southern,Sun Belt,9,95,The Citadel,home,regular
2023,1,Georgia State,Sun Belt,5,65,Rhode Island,home,regular
2023,1,Georgia Tech,ACC,2,20,Louisville,home,regular
2023,1,Louisville,ACC,7,59,Georgia Tech,away,regular
2023,1,Houston,Big 12,3,25,UT San Antonio,home,regular
2023,1,UT San Antonio,American Athletic,8,64,Houston,away,regular
2023,1,Illinois,Big Ten,10,100,Toledo,home,regular
2023,1,Toledo,Mid-American,7,40,Illinois,away,regular
2023,1,Indiana,Big Ten,8,75,Ohio State,home,regular
2023,1,Ohio State,Big Ten,5,41,Indiana,away,regular
2023,1,Utah State,Mountain West,10,91,Iowa,away,regular
2023,1,Iowa,Big Ten,7,50,Utah State,home,regular
2023,1,Iowa State,Big 12,9,81,Northern Iowa,home,regular
2023,1,James Madison,Sun Belt,4,25,Bucknell,home,regular
2023,1,Kansas,Big 12,3,35,Missouri State,home,regular
2023,1,Kansas State,Big 12,4,36,Southeast Missouri State,home,regular
2023,1,UCF,Big 12,7,70,Kent State,home,regular
