Defense,Offense,Text
Western Michigan,Air Force,"Devin Rushing run for 1 yd to the AFA 38 AIR FORCE Penalty, Illegal Shift ( Yards) declined"
Western Michigan,Air Force,"Kale Pearson run for 3 yds to the AFA 41 AIR FORCE Penalty, Personal Foul ( Yards) declined"
Air Force,Western Michigan,"Zach Terrell pass incomplete to Corey Davis WESTRN MICHIGAN Penalty, Offensive Pass Interference (Corey Davis) declined"
Air Force,Army,"Angel Santiago pass incomplete ARMY Penalty, illegal block ( Yards) declined"
Air Force,Army,"Angel Santiago pass incomplete to Edgar Poe, broken up by Justin DeCoud ARMY Penalty, Offensive holding ( Yards) declined"
Air Force,Army,"A.J. Schurr pass incomplete to Raymond Maples ARMY Penalty, illegal shift ( Yards) declined"
Air Force,San Diego State,"Quinn Kaehler pass complete to Lloyd Mills for 1 yd to the SDSt 40 SAN DIEGO ST Penalty, Offensive holding ( Yards) declined"
Utah State,Air Force,"Karson Roberts pass complete to Jalen Robinette for 74 yds for a TD UTAH ST Penalty, Defensive pass interference ( Yards) declined, (Luke Strebel KICK)"
Army,Air Force,"Arion Worthman run for 2 yds to the Army 3 AIR FORCE Penalty, illegal motion ( Yards) declined"
Air Force,San José State,"Kenny Potter pass complete to Rahshead Johnson for 19 yds to the AFA 29 for a 1ST down AIR FORCE Penalty, Defensive offside ( Yards) declined for a 1ST down"
Air Force,New Mexico,"Lamar Jordan pass complete to Delane Hart-Johnson for 49 yds for a TD AIR FORCE Penalty, Defensive pass interference ( Yards) declined, (Jason Sanders KICK)"
Navy,Air Force,"Arion Worthman pass complete to Marcus Bennett for 51 yds for a TD, (Luke Strebel KICK) NAVY Penalty, RU ( Yards) declined"
Army,Air Force,"Arion Worthman pass incomplete AIR FORCE Penalty, Offensive holding ( Yards) declined"
Wyoming,Air Force,"Charlie Scott punt for 56 yds , Austin Conway returns for 3 yds to the Wyom 31 WYOMING Penalty, illegal block (10 Yards) declined"
Air Force,Utah State,"Jordan Love pass incomplete UTAH ST Penalty, ineligible downfield on pass ( Yards) declined"
Utah State,Air Force,"Taven Birdow run for 6 yds to the UthSt 4 for a 1ST down UTAH ST Penalty, Defensive offside ( Yards) declined for a 1ST down"
Stony Brook,Air Force,"Joseph Saucier run for 4 yds to the AFA 7 AIR FORCE Penalty, personal foul ( Yards) declined"
Florida Atlantic,Air Force,"Ronald Cleveland run for a loss of 3 yards to the AFA 29 AIR FORCE Penalty, IB ( Yards) declined"
Air Force,Florida Atlantic,"Devin Singletary run for a loss of 6 yards to the AFA 46 FLA ATLANTIC Penalty, IB ( Yards) declined"
Air Force,Florida Atlantic,"Chris Robison pass incomplete to Willie Wright FLA ATLANTIC Penalty, Offensive holding ( Yards) declined"
Air Force,Florida Atlantic,"Sebastian Riella punt for 31 yds, fair catch by Ronald Cleveland at the AFA 18 AIR FORCE Penalty, personal foul ( Yards) declined"
Nevada,Air Force,"Arion Worthman pass complete to Ronald Cleveland for a loss of 4 yards to the AIRFORCE 47 AIR FORCE Penalty, Offensive holding ( Yards) declined"
Nevada,Air Force,"Arion Worthman sacked by Korey Rush for a loss of 10 yards to the AFA 25 AIR FORCE Penalty, Offensive holding ( Yards) declined"
Nevada,Air Force,"Arion Worthman run for a loss of 1 yard to the AFA 11 AIR FORCE Penalty, personal foul ( Yards) declined"
Nevada,Air Force,"Donald Hammond III pass complete to Marcus Bennett for 2 yds for a TD (Jake Koehnke KICK) NEVADA Penalty, Defensive offside ( Yards) declined"
Air Force,San Diego State,"Ryan Agnew pass incomplete to Kahale Warring SAN DIEGO ST Penalty, Offensive pass interference ( Yards) declined"
Air Force,UNLV,"Lexington Thomas run for 2 yds for a TD (Evan Pantels KICK) AIR FORCE Penalty, illegal participation ( Yards) declined"
Air Force,Boise State,"Brett Rypien sacked by Mosese Fifita for a loss of 6 yards to the BoiSt 15 BOISE ST Penalty, Offensive holding ( Yards) declined"
Air Force,Wyoming,"Tyler Vander Waal pass incomplete to James Price WYOMING Penalty, Offensive holding ( Yards) declined"
Air Force,Wyoming,"Xazavian Valladay run for 27 yds for a TD WYOMING Penalty, Offensive holding ( Yards) declined (Cooper Rothe KICK)"
Colorado State,Air Force,"Kadin Remsberg run for 4 yds for a TD (Jake Koehnke KICK) COLORADO ST Penalty, Defensive offside ( Yards) declined"
Colorado State,Air Force,"Donald Hammond III pass complete to Benjamin Waters for 31 yds for a TD (Jake Koehnke KICK) COLORADO ST Penalty, offside defense ( Yards) declined"
Air Force,New Mexico,"Trae Hall sacked by George Silvanic for a loss of 9 yards to the AFA 33 NEW MEXICO Penalty, Offensive holding ( Yards) declined"
Utah State,Air Force,"Matthew Murla run for 1 yd for a TD AIR FORCE Penalty, delay of game (-5 Yards) to the UthSt 8 (Tevye Schuettpelz-Rohl KICK) UTAH ST Penalty, Defensive offside ( Yards) declined"
Air Force,Navy,"Xavier Arline sacked by Demonte Meeks for a loss of 6 yards to the Navy 19 NAVY Penalty, Offensive holding ( Yards) declined"
Air Force,Utah State,"Andrew Peasley pass complete to Deven Thompkins for 35 yds to the AFA 6 for a 1ST down AIR FORCE Penalty, Defensive Pass Interference ( Yards) declined for a 1ST down"
New Mexico,Air Force,"AIR FORCE Penalty, Offensive Holding (Dane Kinamon) declined"
Wyoming,Air Force,"AIR FORCE Penalty, Encroachment ( Yards) declined"
Boise State,Air Force,"Charles Bein punt for 41 yds BOISE ST Penalty, Running Into the kicker ( Yards) declined"
Air Force,Nevada,"NEVADA Penalty, Offensive Holding ( Yards) declined"
Akron,Marshall,"Rakeem Cato pass incomplete to N/A MARSHALL Penalty, Offensive holding ( Yards) declined"
Pittsburgh,Akron,"Kyle Pohl pass incomplete to N/A AKRON Penalty, Offensive holding ( Yards) declined"
Eastern Michigan,Akron,"Kyle Pohl pass incomplete to L.T. Smith AKRON Penalty, Offensive holding ( Yards) declined"
Eastern Michigan,Akron,"Jawon Chisholm run for 10 yds to the Akron 35 AKRON Penalty, Offensive holding ( Yards) declined"
Akron,Eastern Michigan,"Rob Bolden pass complete to Dustin Creel for 7 yds to the EMich 49 EASTRN MICHIGAN Penalty, illegal block ( Yards) declined"
Akron,Miami (OH),"Andrew Hendrix sacked by Justin March for a loss of 1 yard to the MiaOh 38 MIAMI OH Penalty, Offensive holding ( Yards) declined"
Akron,Ohio,"JD Sprague pass complete to A.J. Ouellette for 7 yds to the Akron 28 AKRON Penalty, Defensive offside (NA) declined"
Akron,Ohio,"JD Sprague pass incomplete to Troy Mangen OHIO Penalty, Offensive holding (NA) declined"
Akron,Ohio,"JD Sprague pass incomplete to Jordan Reid OHIO Penalty, ineligible downfield on pass (NA) declined"
Ohio,Akron,"Tommy Woodson pass incomplete to Fransohn Bickley AKRON Penalty, Offensive holding (NA) declined"
Akron,Ball State,"Teddy Williamson run for a loss of 3 yards to the Akron 4 BALL ST Penalty, illegal formation (NA) declined"
Akron,Buffalo,"Anthone Taylor run for 57 yds to the BUFFALO 17 for a 1ST down AKRON Penalty, Defensive Offside (Kris Givens) declined for a 1ST down"
Akron,Kent State,"Nick Holley run for 1 yd for a TD AKRON Penalty, offside defense ( Yards) declined, (Anthony Melchiori KICK)"
Akron,Kent State,"Colin Reardon pass complete to Ernest Calhoun for 19 yds to the KENTST 35 for a 1ST down AKRON Penalty, offside defense ( Yards) declined for a 1ST down"
Pittsburgh,Akron,"Tra'Von Chapman sacked by Jordan Whitehead and Rori Blair for a loss of 11 yards to the Akron 20 AKRON Penalty, illegal motion ( Yards) declined"
Akron,Savannah State,"David Handler pass incomplete to Cantrell Frazier SAVANNAH ST Penalty, Offensive holding ( Yards) declined"
Louisiana,Akron,"Donnell Alexander run for 2 yds to the LaLaf 31 AKRON Penalty, Offensive holding ( Yards) declined"
Akron,Eastern Michigan,"Brogan Roback pass intercepted Zach Guiser return for a loss of 2 yards to the Akron 36 EASTRN MICHIGAN Penalty, Defensive holding ( Yards) declined"
Akron,Eastern Michigan,"Dylan Mulder punt for 34 yds, fair catch by A.J. Coney at the EMich 44 for a 1ST down AKRON Penalty, illegal formation (15 Yards) declined for a 1ST down"
Akron,Bowling Green,"Fred Coppet run for 1 yd to the BwGrn 6 BOWLING GREEN Penalty, Offensive holding ( Yards) declined"
Akron,UMass,"Blake Frohnapfel pass intercepted Kris Givens return for no gain to the Akron 17 MASSACHUSETTS Penalty, HOL ( Yards) declined"
