Rk,Date,Location,Team,Opponent,Result,Passing Cmp,Passing Att,Passing Pct,Passing Yds,Passing TD,Rushing Att,Rushing Yds,Rushing Avg,Rushing TD,Total Offense Plays,Total Offense Yds,Total Offense Avg,First Downs Pass,First Downs Rush,First Downs Pen,First Downs Tot,Penalties No.,Penalties Yds,Turnovers Fum,Turnovers Int,Turnovers Tot
1,44443,Neutral,Alabama,Miami (FL),W (44-13),28,39,71.8,354,4,38,147,3.9,1,77,501,6.5,18,8,2,28,8,81,1,0,1
2,44450,Home,Alabama,Mercer,W (48-14),20,31,64.5,266,3,34,158,4.6,2,65,424,6.5,12,9,2,23,9,95,0,0,0
3,9/18/2021,Away,Alabama,Florida,W (31-29),22,35,62.9,240,3,28,91,3.3,1,63,331,5.3,9,6,4,19,11,75,0,0,0
4,9/25/2021,Home,Alabama,Southern Mississippi,W (63-14),23,26,88.5,395,6,33,211,6.4,1,59,606,10.3,13,8,1,22,7,60,0,1,1
5,10/2/2021,Home,Alabama,Mississippi,W (42-21),21,27,77.8,241,2,50,210,4.2,4,77,451,5.9,14,11,2,27,5,52,0,1,1
6,10/9/2021,Away,Alabama,Texas A&M,L (38-41),28,48,58.3,369,3,34,153,4.5,0,82,522,6.4,17,6,2,25,8,82,1,1,2
7,10/16/2021,Away,Alabama,Mississippi State,W (49-9),20,28,71.4,348,4,41,195,4.8,2,69,543,7.9,11,11,0,22,6,60,0,0,0
8,10/23/2021,Home,Alabama,Tennessee,W (52-24),31,43,72.1,371,2,49,203,4.1,5,92,574,6.2,18,12,3,33,4,30,1,0,1
9,11/6/2021,Home,Alabama,Louisiana State,W (20-14),24,37,64.9,302,2,26,6,0.2,1,63,308,4.9,12,4,0,16,9,64,1,0,1
10,11/13/2021,Home,Alabama,New Mexico State,W (59-3),30,37,81.1,340,5,41,247,6,3,78,587,7.5,16,13,1,30,4,37,1,0,1
11,11/20/2021,Home,Alabama,Arkansas,W (42-35),31,40,77.5,559,5,36,112,3.1,0,76,671,8.8,20,9,0,29,5,45,2,0,2
12,11/27/2021,Away,Alabama,Auburn,W (24-22),25,52,48.1,317,2,36,64,1.8,0,88,381,4.3,14,4,0,18,11,129,0,1,1
