Rk,Date,Location,Team,Opponent,Result,Passing Cmp,Passing Att,Passing Pct,Passing Yds,Passing TD,Rushing Att,Rushing Yds,Rushing Avg,Rushing TD,Total Offense Plays,Total Offense Yds,Total Offense Avg,First Downs Pass,First Downs Rush,First Downs Pen,First Downs Tot,Penalties No.,Penalties Yds,Turnovers Fum,Turnovers Int,Turnovers Tot
1,44443,Home,Arkansas,Rice,W (38-17),12,21,57.1,128,1,44,245,5.6,4,65,373,5.7,4,12,2,18,13,117,0,1,1
2,44450,Home,Arkansas,Texas,W (40-21),14,19,73.7,138,0,47,333,7.1,4,66,471,7.1,5,16,0,21,4,40,0,1,1
3,9/18/2021,Home,Arkansas,Georgia Southern,W (45-10),14,25,56,364,3,48,269,5.6,3,73,633,8.7,12,13,2,27,9,93,0,0,0
4,9/25/2021,Neutral,Arkansas,Texas A&M,W (20-10),9,19,47.4,246,2,47,202,4.3,0,66,448,6.8,6,13,1,20,10,65,0,0,0
5,10/2/2021,Away,Arkansas,Georgia,L (0-37),10,16,62.5,87,0,29,75,2.6,0,45,162,3.6,2,6,1,9,13,101,0,0,0
6,10/9/2021,Away,Arkansas,Mississippi,L (51-52),25,35,71.4,326,3,58,350,6,4,93,676,7.3,14,22,3,39,4,25,1,1,2
7,10/16/2021,Home,Arkansas,Auburn,L (23-38),21,35,60,228,2,54,232,4.3,1,89,460,5.2,15,12,2,29,4,41,1,0,1
8,10/23/2021,Home,Arkansas,Arkansas-Pine Bluff,W (45-3),11,22,50,213,4,41,291,7.1,1,63,504,8,9,15,1,25,9,77,2,0,2
9,11/6/2021,Home,Arkansas,Mississippi State,W (31-28),19,25,76,191,1,45,202,4.5,2,70,393,5.6,10,10,3,23,11,84,0,0,0
10,11/13/2021,Away,Arkansas,Louisiana State,W (16-13),18,26,69.2,142,1,41,146,3.6,0,67,288,4.3,4,8,1,13,9,63,0,0,0
11,11/20/2021,Away,Arkansas,Alabama,L (35-42),23,31,74.2,358,4,42,110,2.6,1,73,468,6.4,13,7,1,21,6,25,0,0,0
12,11/26/2021,Home,Arkansas,Missouri,W (34-17),15,20,75,262,1,33,163,4.9,3,53,425,8,7,7,0,14,6,55,1,0,1
