Rk,Date,Location,Team,Opponent,Result,Passing Cmp,Passing Att,Passing Pct,Passing Yds,Passing TD,Rushing Att,Rushing Yds,Rushing Avg,Rushing TD,Total Offense Plays,Total Offense Yds,Total Offense Avg,First Downs Pass,First Downs Rush,First Downs Pen,First Downs Tot,Penalties No.,Penalties Yds,Turnovers Fum,Turnovers Int,Turnovers Tot
1,44443,Home,Auburn,Akron,W (60-10),22,27,81.5,297,3,32,316,9.9,5,59,613,10.4,14,14,0,28,3,25,0,0,0
2,44450,Home,Auburn,Alabama State,W (62-0),11,19,57.9,174,3,39,364,9.3,3,58,538,9.3,6,13,2,21,10,67,1,0,1
3,9/18/2021,Away,Auburn,Penn State,L (20-28),21,39,53.8,185,0,39,184,4.7,2,78,369,4.7,12,10,2,24,6,45,1,0,1
4,9/25/2021,Home,Auburn,Georgia State,W (34-24),22,43,51.2,253,1,35,166,4.7,0,78,419,5.4,13,7,1,21,6,65,1,0,1
5,10/2/2021,Away,Auburn,Louisiana State,W (24-19),24,48,50,290,1,29,163,5.6,2,77,453,5.9,16,6,1,23,5,45,0,0,0
6,10/9/2021,Home,Auburn,Georgia,L (10-34),24,43,55.8,272,0,29,46,1.6,1,72,318,4.4,12,4,1,17,5,34,0,1,1
7,10/16/2021,Away,Auburn,Arkansas,W (38-23),21,26,80.8,292,2,35,135,3.9,2,61,427,7,12,6,2,20,6,49,0,1,1
8,10/30/2021,Home,Auburn,Mississippi,W (31-20),22,31,71,276,1,46,207,4.5,3,77,483,6.3,12,14,4,30,6,40,2,0,2
9,11/6/2021,Away,Auburn,Texas A&M,L (3-20),20,41,48.8,153,0,29,73,2.5,0,70,226,3.2,8,9,0,17,5,35,1,1,2
10,11/13/2021,Home,Auburn,Mississippi State,L (34-43),27,43,62.8,377,2,27,106,3.9,3,70,483,6.9,15,7,0,22,9,86,1,0,1
11,11/20/2021,Away,Auburn,South Carolina,L (17-21),17,32,53.1,188,1,33,191,5.8,1,65,379,5.8,8,13,1,22,3,25,1,0,1
12,11/27/2021,Home,Auburn,Alabama,L (22-24),17,26,65.4,137,2,40,22,0.6,0,66,159,2.4,6,1,5,12,7,52,0,1,1
