Rk,Date,Location,Team,Opponent,Result,Passing Cmp,Passing Att,Passing Pct,Passing Yds,Passing TD,Rushing Att,Rushing Yds,Rushing Avg,Rushing TD,Total Offense Plays,Total Offense Yds,Total Offense Avg,First Downs Pass,First Downs Rush,First Downs Pen,First Downs Tot,Penalties No.,Penalties Yds,Turnovers Fum,Turnovers Int,Turnovers Tot
1,44443,Home,Florida,Florida Atlantic,W (35-14),20,35,57.1,153,1,46,400,8.7,4,81,553,6.8,8,17,1,26,9,91,0,2,2
2,44450,Away,Florida,South Florida,W (42-20),17,25,68,303,3,44,363,8.3,3,69,666,9.7,12,13,1,26,4,45,0,2,2
3,9/18/2021,Home,Florida,Alabama,L (29-31),17,27,63,194,0,43,246,5.7,4,70,440,6.3,10,12,3,25,7,67,0,1,1
4,9/25/2021,Home,Florida,Tennessee,W (38-14),22,28,78.6,222,3,40,283,7.1,2,68,505,7.4,13,11,1,25,6,45,1,0,1
5,10/2/2021,Away,Florida,Kentucky,L (13-20),24,32,75,211,1,39,171,4.4,0,71,382,5.4,13,6,2,21,15,115,0,1,1
6,10/9/2021,Home,Florida,Vanderbilt,W (42-0),18,28,64.3,298,4,34,181,5.3,2,62,479,7.7,7,10,1,18,8,80,0,2,2
7,10/16/2021,Away,Florida,Louisiana State,L (42-49),23,40,57.5,350,4,35,138,3.9,2,75,488,6.5,17,8,1,26,0,0,0,4,4
8,10/30/2021,Neutral,Florida,Georgia,L (7-34),22,35,62.9,194,0,39,161,4.1,1,74,355,4.8,11,8,1,20,8,50,1,2,3
9,11/6/2021,Away,Florida,South Carolina,L (17-40),17,30,56.7,258,2,26,82,3.2,0,56,340,6.1,9,4,0,13,6,64,1,1,2
10,11/13/2021,Home,Florida,Samford,W (70-52),28,34,82.4,464,6,35,253,7.2,4,69,717,10.4,17,12,1,30,12,94,0,0,0
11,11/20/2021,Away,Florida,Missouri,L (23-24),21,33,63.6,267,0,38,93,2.4,0,71,360,5.1,11,5,1,17,9,80,0,0,0
12,11/27/2021,Home,Florida,Florida State,W (24-21),21,31,67.7,218,2,43,154,3.6,1,74,372,5,12,10,0,22,13,107,0,3,3
