Rk,Date,Location,Team,Opponent,Result,Passing Cmp,Passing Att,Passing Pct,Passing Yds,Passing TD,Rushing Att,Rushing Yds,Rushing Avg,Rushing TD,Total Offense Plays,Total Offense Yds,Total Offense Avg,First Downs Pass,First Downs Rush,First Downs Pen,First Downs Tot,Penalties No.,Penalties Yds,Turnovers Fum,Turnovers Int,Turnovers Tot
1,44443,Neutral,Georgia,Clemson,W (10-3),22,30,73.3,135,0,31,121,3.9,0,61,256,4.2,7,6,2,15,10,94,1,1,2
2,44450,Home,Georgia,Alabama-Birmingham,W (56-7),14,22,63.6,376,6,38,163,4.3,1,60,539,9,10,11,2,23,4,47,0,1,1
3,9/18/2021,Home,Georgia,South Carolina,W (40-13),24,35,68.6,307,3,31,184,5.9,2,66,491,7.4,16,8,2,26,7,52,1,2,3
4,9/25/2021,Away,Georgia,Vanderbilt,W (62-0),21,28,75,291,3,45,244,5.4,5,73,535,7.3,14,13,2,29,4,17,0,1,1
5,10/2/2021,Home,Georgia,Arkansas,W (37-0),7,11,63.6,72,0,56,273,4.9,3,67,345,5.1,3,16,3,22,6,40,0,0,0
6,10/9/2021,Away,Georgia,Auburn,W (34-10),14,21,66.7,231,2,49,201,4.1,2,70,432,6.2,8,11,3,22,3,18,0,0,0
7,10/16/2021,Home,Georgia,Kentucky,W (30-13),14,20,70,250,3,27,166,6.1,1,47,416,8.9,13,7,0,20,5,42,0,0,0
8,10/30/2021,Neutral,Georgia,Florida,W (34-7),10,19,52.6,161,1,33,193,5.8,2,52,354,6.8,7,10,1,18,6,38,1,2,3
9,11/6/2021,Home,Georgia,Missouri,W (43-6),20,30,66.7,337,3,33,168,5.1,2,63,505,8,17,7,1,25,4,35,0,1,1
10,11/13/2021,Away,Georgia,Tennessee,W (41-17),17,29,58.6,213,1,41,274,6.7,4,70,487,7,12,14,0,26,5,55,0,0,0
11,11/20/2021,Home,Georgia,Charleston Southern,W (56-7),20,37,54.1,255,4,32,228,7.1,4,69,483,7,12,9,1,22,2,25,1,2,3
12,11/27/2021,Away,Georgia,Georgia Tech,W (45-0),14,20,70,255,4,30,209,7,2,50,464,9.3,10,9,2,21,0,0,0,0,0
