Rk,Date,Location,Team,Opponent,Result,Passing Cmp,Passing Att,Passing Pct,Passing Yds,Passing TD,Rushing Att,Rushing Yds,Rushing Avg,Rushing TD,Total Offense Plays,Total Offense Yds,Total Offense Avg,First Downs Pass,First Downs Rush,First Downs Pen,First Downs Tot,Penalties No.,Penalties Yds,Turnovers Fum,Turnovers Int,Turnovers Tot
1,44443,Home,Kentucky,Louisiana-Monroe,W (45-10),22,33,66.7,419,4,33,145,4.4,2,66,564,8.5,14,7,3,24,7,65,2,1,3
2,44450,Home,Kentucky,Missouri,W (35-28),10,18,55.6,179,1,52,340,6.5,4,70,519,7.4,8,16,2,26,3,35,1,1,2
3,9/18/2021,Home,Kentucky,Chattanooga,W (28-23),23,35,65.7,254,2,25,103,4.1,1,60,357,6,12,7,1,20,8,60,1,2,3
4,9/25/2021,Away,Kentucky,South Carolina,W (16-10),15,22,68.2,102,0,44,230,5.2,1,66,332,5,7,13,2,22,4,29,2,1,3
5,10/2/2021,Home,Kentucky,Florida,W (20-13),7,17,41.2,87,1,29,137,4.7,1,46,224,4.9,5,7,1,13,4,30,0,1,1
6,10/9/2021,Home,Kentucky,Louisiana State,W (42-21),14,17,82.4,145,3,45,330,7.3,3,62,475,7.7,7,16,1,24,3,25,0,0,0
7,10/16/2021,Away,Kentucky,Georgia,L (13-30),32,42,76.2,192,2,27,51,1.9,0,69,243,3.5,11,4,1,16,3,15,0,0,0
8,10/30/2021,Away,Kentucky,Mississippi State,L (17-31),17,28,60.7,150,1,20,66,3.3,0,48,216,4.5,8,5,1,14,6,68,1,3,4
9,11/6/2021,Home,Kentucky,Tennessee,L (42-45),32,50,64,387,3,49,225,4.6,3,99,612,6.2,20,14,1,35,7,58,0,1,1
10,11/13/2021,Away,Kentucky,Vanderbilt,W (34-17),14,22,63.6,177,2,36,236,6.6,1,58,413,7.1,9,11,1,21,4,45,0,1,1
11,11/20/2021,Home,Kentucky,New Mexico State,W (56-16),24,35,68.6,459,4,36,248,6.9,3,71,707,10,16,11,2,29,7,69,3,1,4
12,11/27/2021,Away,Kentucky,Louisville,W (52-21),15,19,78.9,149,0,49,362,7.4,7,68,511,7.5,10,18,1,29,4,29,0,0,0
