Rk,Date,Location,Team,Opponent,Result,Passing Cmp,Passing Att,Passing Pct,Passing Yds,Passing TD,Rushing Att,Rushing Yds,Rushing Avg,Rushing TD,Total Offense Plays,Total Offense Yds,Total Offense Avg,First Downs Pass,First Downs Rush,First Downs Pen,First Downs Tot,Penalties No.,Penalties Yds,Turnovers Fum,Turnovers Int,Turnovers Tot
1,44443,Away,LSU,UCLA,L (27-38),26,46,56.5,330,3,25,49,2,0,71,379,5.3,17,4,3,24,2,10,0,1,1
2,44450,Home,LSU,McNeese State,W (34-7),21,37,56.8,180,3,36,125,3.5,1,73,305,4.2,9,7,1,17,2,25,0,0,0
3,9/18/2021,Home,LSU,Central Michigan,W (49-21),27,39,69.2,400,5,24,84,3.5,1,63,484,7.7,18,5,0,23,6,57,0,1,1
4,9/25/2021,Away,LSU,Mississippi State,W (28-25),17,27,63,280,4,27,63,2.3,0,54,343,6.4,8,6,1,15,5,32,0,1,1
5,10/2/2021,Home,LSU,Auburn,L (19-24),26,46,56.5,325,1,25,33,1.3,0,71,358,5,13,3,3,19,6,50,0,1,1
6,10/9/2021,Away,LSU,Kentucky,L (21-42),22,38,57.9,261,1,35,147,4.2,2,73,408,5.6,11,10,1,22,4,18,1,0,1
7,10/16/2021,Home,LSU,Florida,W (49-42),14,24,58.3,133,3,45,321,7.1,3,69,454,6.6,8,14,0,22,5,45,0,0,0
8,10/23/2021,Away,LSU,Mississippi,L (17-31),20,33,60.6,249,1,35,77,2.2,1,68,326,4.8,11,5,4,20,2,16,2,1,3
9,11/6/2021,Away,LSU,Alabama,L (14-20),17,33,51.5,186,2,40,109,2.7,0,73,295,4,8,5,3,16,6,30,1,1,2
10,11/13/2021,Home,LSU,Arkansas,L (13-16),21,37,56.8,200,1,42,108,2.6,0,79,308,3.9,9,9,2,20,5,34,1,2,3
11,11/20/2021,Home,LSU,Louisiana-Monroe,W (27-14),22,34,64.7,319,2,38,92,2.4,1,72,411,5.7,11,6,0,17,4,38,0,1,1
12,11/27/2021,Home,LSU,Texas A&M,W (27-24),22,38,57.9,306,3,36,106,2.9,0,74,412,5.6,13,8,1,22,3,32,0,0,0
