Rk,Date,Location,Team,Opponent,Result,Passing Cmp,Passing Att,Passing Pct,Passing Yds,Passing TD,Rushing Att,Rushing Yds,Rushing Avg,Rushing TD,Total Offense Plays,Total Offense Yds,Total Offense Avg,First Downs Pass,First Downs Rush,First Downs Pen,First Downs Tot,Penalties No.,Penalties Yds,Turnovers Fum,Turnovers Int,Turnovers Tot
1,9/4/2021,Home,Mississippi State,Louisiana Tech,W (35-34),39,47,83,370,3,19,65,3.4,2,66,435,6.6,17,5,0,22,12,95,3,1,4
2,9/11/2021,Home,Mississippi State,North Carolina State,W (24-10),33,49,67.3,294,2,15,22,1.5,0,64,316,4.9,14,1,0,15,9,60,0,0,0
3,9/18/2021,Away,Mississippi State,Memphis,L (29-31),50,67,74.6,419,3,16,49,3.1,1,83,468,5.6,18,6,2,26,9,64,1,0,1
4,9/25/2021,Home,Mississippi State,Louisiana State,L (25-28),47,62,75.8,371,3,26,115,4.4,0,88,486,5.5,18,10,1,29,6,36,1,1,2
5,10/2/2021,Away,Mississippi State,Texas A&M,W (26-22),46,59,78,408,3,17,30,1.8,0,76,438,5.8,22,4,2,28,7,65,0,0,0
6,10/16/2021,Home,Mississippi State,Alabama,L (9-49),35,55,63.6,300,0,19,-1,-0.1,0,74,299,4,15,6,3,24,6,25,0,3,3
7,10/23/2021,Away,Mississippi State,Vanderbilt,W (45-6),46,64,71.9,461,5,22,61,2.8,1,86,522,6.1,21,6,2,29,9,70,0,2,2
8,10/30/2021,Home,Mississippi State,Kentucky,W (31-17),36,39,92.3,344,1,35,94,2.7,3,74,438,5.9,15,7,5,27,10,73,0,0,0
9,11/6/2021,Away,Mississippi State,Arkansas,L (28-31),36,48,75,417,4,26,69,2.7,0,74,486,6.6,20,5,3,28,10,77,0,1,1
10,11/13/2021,Away,Mississippi State,Auburn,W (43-34),44,56,78.6,415,6,19,72,3.8,0,75,487,6.5,21,5,5,31,5,40,0,0,0
11,11/20/2021,Home,Mississippi State,Tennessee State,W (55-10),36,46,78.3,493,5,15,107,7.1,2,61,600,9.8,18,5,0,23,3,29,2,0,2
12,11/25/2021,Home,Mississippi State,Mississippi,L (21-31),38,59,64.4,336,1,21,84,4,1,80,420,5.3,20,6,4,30,8,75,0,0,0
