Rk,Date,Location,Team,Opponent,Result,Passing Cmp,Passing Att,Passing Pct,Passing Yds,Passing TD,Rushing Att,Rushing Yds,Rushing Avg,Rushing TD,Total Offense Plays,Total Offense Yds,Total Offense Avg,First Downs Pass,First Downs Rush,First Downs Pen,First Downs Tot,Penalties No.,Penalties Yds,Turnovers Fum,Turnovers Int,Turnovers Tot
1,44445,Neutral,Ole Miss,Louisville,W (43-24),22,32,68.8,381,1,41,188,4.6,4,73,569,7.8,16,13,2,31,14,125,0,0,0
2,44450,Home,Ole Miss,Austin Peay,W (54-17),24,39,61.5,294,5,43,336,7.8,1,82,630,7.7,10,19,0,29,12,130,1,0,1
3,9/18/2021,Home,Ole Miss,Tulane,W (61-21),23,33,69.7,335,3,61,372,6.1,6,94,707,7.5,14,22,5,41,9,65,1,0,1
4,10/2/2021,Away,Ole Miss,Alabama,L (21-42),21,29,72.4,213,1,34,78,2.3,2,63,291,4.6,8,7,3,18,8,60,1,0,1
5,10/9/2021,Home,Ole Miss,Arkansas,W (52-51),14,21,66.7,287,2,49,324,6.6,5,70,611,8.7,8,14,0,22,8,75,0,0,0
6,10/16/2021,Away,Ole Miss,Tennessee,W (31-26),21,39,53.8,231,2,62,279,4.5,2,101,510,5,11,17,1,29,10,75,0,1,1
7,10/23/2021,Home,Ole Miss,Louisiana State,W (31-17),19,24,79.2,204,1,50,266,5.3,3,74,470,6.4,10,14,1,25,12,106,0,0,0
8,10/30/2021,Away,Ole Miss,Auburn,L (20-31),26,42,61.9,307,0,39,156,4,2,81,463,5.7,17,8,1,26,7,57,0,1,1
9,11/6/2021,Home,Ole Miss,Liberty,W (27-14),20,27,74.1,324,1,28,142,5.1,2,55,466,8.5,14,5,1,20,9,79,0,0,0
10,11/13/2021,Home,Ole Miss,Texas A&M,W (29-19),24,37,64.9,247,1,56,257,4.6,1,93,504,5.4,14,14,4,32,6,51,1,0,1
11,11/20/2021,Home,Ole Miss,Vanderbilt,W (31-17),27,36,75,326,2,29,144,5,2,65,470,7.2,16,7,0,23,5,38,0,1,1
12,11/25/2021,Away,Ole Miss,Mississippi State,W (31-21),26,34,76.5,234,1,44,154,3.5,3,78,388,5,11,10,2,23,11,73,0,1,1
