Date,Location,Team,Opponent,Result,Passing Cmp,Passing Att,Passing Pct,Passing Yds,Passing TD,Rushing Att,Rushing Yds,Rushing Avg,Rushing TD,Total Offense Plays,Total Offense Yds,Total Offense Avg,First Downs Pass,First Downs Rush,First Downs Pen,First Downs Tot,Penalties.No,Penalties.Yds,Turnovers Fum,Turnovers Int,Turnovers Tot
9/4/2021,Neutral,Alabama,Miami (FL),W (44-13),28,39,71.8,354,4,38,147,3.9,1,77,501,6.5,18,8,2,28,8,81,1,0,1
9/11/2021,Home,Alabama,Mercer,W (48-14),20,31,64.5,266,3,34,158,4.6,2,65,424,6.5,12,9,2,23,9,95,0,0,0
9/18/2021,Away,Alabama,Florida,W (31-29),22,35,62.9,240,3,28,91,3.3,1,63,331,5.3,9,6,4,19,11,75,0,0,0
9/25/2021,Home,Alabama,Southern Mississippi,W (63-14),23,26,88.5,395,6,33,211,6.4,1,59,606,10.3,13,8,1,22,7,60,0,1,1
10/2/2021,Home,Alabama,Ole Miss,W (42-21),21,27,77.8,241,2,50,210,4.2,4,77,451,5.9,14,11,2,27,5,52,0,1,1
10/9/2021,Away,Alabama,Texas A&M,L (38-41),28,48,58.3,369,3,34,153,4.5,0,82,522,6.4,17,6,2,25,8,82,1,1,2
10/16/2021,Away,Alabama,Mississippi State,W (49-9),20,28,71.4,348,4,41,195,4.8,2,69,543,7.9,11,11,0,22,6,60,0,0,0
10/23/2021,Home,Alabama,Tennessee,W (52-24),31,43,72.1,371,2,49,203,4.1,5,92,574,6.2,18,12,3,33,4,30,1,0,1
11/6/2021,Home,Alabama,LSU,W (20-14),24,37,64.9,302,2,26,6,0.2,1,63,308,4.9,12,4,0,16,9,64,1,0,1
11/13/2021,Home,Alabama,New Mexico State,W (59-3),30,37,81.1,340,5,41,247,6,3,78,587,7.5,16,13,1,30,4,37,1,0,1
11/20/2021,Home,Alabama,Arkansas,W (42-35),31,40,77.5,559,5,36,112,3.1,0,76,671,8.8,20,9,0,29,5,45,2,0,2
11/27/2021,Away,Alabama,Auburn,W (24-22),25,52,48.1,317,2,36,64,1.8,0,88,381,4.3,14,4,0,18,11,129,0,1,1
9/4/2021,Home,Arkansas,Rice,W (38-17),12,21,57.1,128,1,44,245,5.6,4,65,373,5.7,4,12,2,18,13,117,0,1,1
9/11/2021,Home,Arkansas,Texas,W (40-21),14,19,73.7,138,0,47,333,7.1,4,66,471,7.1,5,16,0,21,4,40,0,1,1
9/18/2021,Home,Arkansas,Georgia Southern,W (45-10),14,25,56,364,3,48,269,5.6,3,73,633,8.7,12,13,2,27,9,93,0,0,0
9/25/2021,Neutral,Arkansas,Texas A&M,W (20-10),9,19,47.4,246,2,47,202,4.3,0,66,448,6.8,6,13,1,20,10,65,0,0,0
10/2/2021,Away,Arkansas,Georgia,L (0-37),10,16,62.5,87,0,29,75,2.6,0,45,162,3.6,2,6,1,9,13,101,0,0,0
10/9/2021,Away,Arkansas,Ole Miss,L (51-52),25,35,71.4,326,3,58,350,6,4,93,676,7.3,14,22,3,39,4,25,1,1,2
10/16/2021,Home,Arkansas,Auburn,L (23-38),21,35,60,228,2,54,232,4.3,1,89,460,5.2,15,12,2,29,4,41,1,0,1
10/23/2021,Home,Arkansas,Arkansas-Pine Bluff,W (45-3),11,22,50,213,4,41,291,7.1,1,63,504,8,9,15,1,25,9,77,2,0,2
11/6/2021,Home,Arkansas,Mississippi State,W (31-28),19,25,76,191,1,45,202,4.5,2,70,393,5.6,10,10,3,23,11,84,0,0,0
11/13/2021,Away,Arkansas,LSU,W (16-13),18,26,69.2,142,1,41,146,3.6,0,67,288,4.3,4,8,1,13,9,63,0,0,0
11/20/2021,Away,Arkansas,Alabama,L (35-42),23,31,74.2,358,4,42,110,2.6,1,73,468,6.4,13,7,1,21,6,25,0,0,0
11/26/2021,Home,Arkansas,Missouri,W (34-17),15,20,75,262,1,33,163,4.9,3,53,425,8,7,7,0,14,6,55,1,0,1
9/4/2021,Home,Auburn,Akron,W (60-10),22,27,81.5,297,3,32,316,9.9,5,59,613,10.4,14,14,0,28,3,25,0,0,0
9/11/2021,Home,Auburn,Alabama State,W (62-0),11,19,57.9,174,3,39,364,9.3,3,58,538,9.3,6,13,2,21,10,67,1,0,1
9/18/2021,Away,Auburn,Penn State,L (20-28),21,39,53.8,185,0,39,184,4.7,2,78,369,4.7,12,10,2,24,6,45,1,0,1
9/25/2021,Home,Auburn,Georgia State,W (34-24),22,43,51.2,253,1,35,166,4.7,0,78,419,5.4,13,7,1,21,6,65,1,0,1
10/2/2021,Away,Auburn,LSU,W (24-19),24,48,50,290,1,29,163,5.6,2,77,453,5.9,16,6,1,23,5,45,0,0,0
10/9/2021,Home,Auburn,Georgia,L (10-34),24,43,55.8,272,0,29,46,1.6,1,72,318,4.4,12,4,1,17,5,34,0,1,1
10/16/2021,Away,Auburn,Arkansas,W (38-23),21,26,80.8,292,2,35,135,3.9,2,61,427,7,12,6,2,20,6,49,0,1,1
10/30/2021,Home,Auburn,Ole Miss,W (31-20),22,31,71,276,1,46,207,4.5,3,77,483,6.3,12,14,4,30,6,40,2,0,2
11/6/2021,Away,Auburn,Texas A&M,L (3-20),20,41,48.8,153,0,29,73,2.5,0,70,226,3.2,8,9,0,17,5,35,1,1,2
11/13/2021,Home,Auburn,Mississippi State,L (34-43),27,43,62.8,377,2,27,106,3.9,3,70,483,6.9,15,7,0,22,9,86,1,0,1
11/20/2021,Away,Auburn,South Carolina,L (17-21),17,32,53.1,188,1,33,191,5.8,1,65,379,5.8,8,13,1,22,3,25,1,0,1
11/27/2021,Home,Auburn,Alabama,L (22-24),17,26,65.4,137,2,40,22,0.6,0,66,159,2.4,6,1,5,12,7,52,0,1,1
9/4/2021,Home,Florida,Florida Atlantic,W (35-14),20,35,57.1,153,1,46,400,8.7,4,81,553,6.8,8,17,1,26,9,91,0,2,2
9/11/2021,Away,Florida,South Florida,W (42-20),17,25,68,303,3,44,363,8.3,3,69,666,9.7,12,13,1,26,4,45,0,2,2
9/18/2021,Home,Florida,Alabama,L (29-31),17,27,63,194,0,43,246,5.7,4,70,440,6.3,10,12,3,25,7,67,0,1,1
9/25/2021,Home,Florida,Tennessee,W (38-14),22,28,78.6,222,3,40,283,7.1,2,68,505,7.4,13,11,1,25,6,45,1,0,1
10/2/2021,Away,Florida,Kentucky,L (13-20),24,32,75,211,1,39,171,4.4,0,71,382,5.4,13,6,2,21,15,115,0,1,1
10/9/2021,Home,Florida,Vanderbilt,W (42-0),18,28,64.3,298,4,34,181,5.3,2,62,479,7.7,7,10,1,18,8,80,0,2,2
10/16/2021,Away,Florida,LSU,L (42-49),23,40,57.5,350,4,35,138,3.9,2,75,488,6.5,17,8,1,26,0,0,0,4,4
10/30/2021,Neutral,Florida,Georgia,L (7-34),22,35,62.9,194,0,39,161,4.1,1,74,355,4.8,11,8,1,20,8,50,1,2,3
11/6/2021,Away,Florida,South Carolina,L (17-40),17,30,56.7,258,2,26,82,3.2,0,56,340,6.1,9,4,0,13,6,64,1,1,2
11/13/2021,Home,Florida,Samford,W (70-52),28,34,82.4,464,6,35,253,7.2,4,69,717,10.4,17,12,1,30,12,94,0,0,0
11/20/2021,Away,Florida,Missouri,L (23-24),21,33,63.6,267,0,38,93,2.4,0,71,360,5.1,11,5,1,17,9,80,0,0,0
11/27/2021,Home,Florida,Florida State,W (24-21),21,31,67.7,218,2,43,154,3.6,1,74,372,5,12,10,0,22,13,107,0,3,3
9/4/2021,Neutral,Georgia,Clemson,W (10-3),22,30,73.3,135,0,31,121,3.9,0,61,256,4.2,7,6,2,15,10,94,1,1,2
9/11/2021,Home,Georgia,Alabama-Birmingham,W (56-7),14,22,63.6,376,6,38,163,4.3,1,60,539,9,10,11,2,23,4,47,0,1,1
9/18/2021,Home,Georgia,South Carolina,W (40-13),24,35,68.6,307,3,31,184,5.9,2,66,491,7.4,16,8,2,26,7,52,1,2,3
9/25/2021,Away,Georgia,Vanderbilt,W (62-0),21,28,75,291,3,45,244,5.4,5,73,535,7.3,14,13,2,29,4,17,0,1,1
10/2/2021,Home,Georgia,Arkansas,W (37-0),7,11,63.6,72,0,56,273,4.9,3,67,345,5.1,3,16,3,22,6,40,0,0,0
10/9/2021,Away,Georgia,Auburn,W (34-10),14,21,66.7,231,2,49,201,4.1,2,70,432,6.2,8,11,3,22,3,18,0,0,0
10/16/2021,Home,Georgia,Kentucky,W (30-13),14,20,70,250,3,27,166,6.1,1,47,416,8.9,13,7,0,20,5,42,0,0,0
10/30/2021,Neutral,Georgia,Florida,W (34-7),10,19,52.6,161,1,33,193,5.8,2,52,354,6.8,7,10,1,18,6,38,1,2,3
11/6/2021,Home,Georgia,Missouri,W (43-6),20,30,66.7,337,3,33,168,5.1,2,63,505,8,17,7,1,25,4,35,0,1,1
11/13/2021,Away,Georgia,Tennessee,W (41-17),17,29,58.6,213,1,41,274,6.7,4,70,487,7,12,14,0,26,5,55,0,0,0
