Rk,Date,Location,Team,Opponent,Result,Passing Cmp,Passing Att,Passing Pct,Passing Yds,Passing TD,Rushing Att,Rushing Yds,Rushing Avg,Rushing TD,Total Offense Plays,Total Offense Yds,Total Offense Avg,First Downs Pass,First Downs Rush,First Downs Pen,First Downs Tot,Penalties No.,Penalties Yds,Turnovers Fum,Turnovers Int,Turnovers Tot
1,44443,Home,South Carolina,Eastern Illinois,W (46-0),18,28,64.3,185,4,47,258,5.5,1,75,443,5.9,9,13,1,23,8,61,0,0,0
2,44450,Away,South Carolina,East Carolina,W (20-17),13,24,54.2,214,1,39,100,2.6,0,63,314,5,4,10,1,15,8,55,2,1,3
3,9/18/2021,Away,South Carolina,Georgia,L (13-40),14,29,48.3,214,1,34,96,2.8,0,63,310,4.9,7,5,1,13,9,70,1,1,2
4,9/25/2021,Home,South Carolina,Kentucky,L (10-16),17,25,68,158,1,26,58,2.2,0,51,216,4.2,9,2,1,12,5,45,0,0,0
5,10/2/2021,Home,South Carolina,Troy,W (23-14),20,34,58.8,255,1,27,102,3.8,0,61,357,5.9,14,5,0,19,10,93,3,0,3
6,10/9/2021,Away,South Carolina,Tennessee,L (20-45),21,34,61.8,217,1,41,153,3.7,2,75,370,4.9,10,10,2,22,5,35,1,1,2
7,10/16/2021,Home,South Carolina,Vanderbilt,W (21-20),22,35,62.9,317,3,32,117,3.7,0,67,434,6.5,9,8,0,17,10,78,2,2,4
8,10/23/2021,Away,South Carolina,Texas A&M,L (14-44),15,26,57.7,114,1,31,71,2.3,1,57,185,3.2,7,3,4,14,6,57,1,2,3
9,11/6/2021,Home,South Carolina,Florida,W (40-17),14,24,58.3,175,2,42,284,6.8,1,66,459,7,6,13,2,21,1,5,0,0,0
10,11/13/2021,Away,South Carolina,Missouri,L (28-31),16,30,53.3,193,2,35,57,1.6,2,65,250,3.8,7,7,6,20,5,35,2,1,3
11,11/20/2021,Home,South Carolina,Auburn,W (21-17),10,15,66.7,157,3,38,159,4.2,0,53,316,6,7,7,1,15,3,25,0,1,1
12,11/27/2021,Home,South Carolina,Clemson,L (0-30),19,42,45.2,163,0,20,43,2.2,0,62,206,3.3,7,4,1,12,3,20,0,2,2
