Rk,Date,Location,Team,Opponent,Result,Passing Cmp,Passing Att,Passing Pct,Passing Yds,Passing TD,Rushing Att,Rushing Yds,Rushing Avg,Rushing TD,Total Offense Plays,Total Offense Yds,Total Offense Avg,First Downs Pass,First Downs Rush,First Downs Pen,First Downs Tot,Penalties No.,Penalties Yds,Turnovers Fum,Turnovers Int,Turnovers Tot
1,44441,Home,Tennessee,Bowling Green State,W (38-6),12,24,50,145,1,64,326,5.1,4,88,471,5.4,6,21,3,30,5,45,2,0,2
2,44450,Home,Tennessee,Pittsburgh,L (34-41),22,33,66.7,238,2,33,136,4.1,2,66,374,5.7,10,6,4,20,13,134,2,1,3
3,9/18/2021,Home,Tennessee,Tennessee Tech,W (56-0),20,32,62.5,215,3,47,202,4.3,4,79,417,5.3,10,10,4,24,3,35,1,0,1
4,9/25/2021,Away,Tennessee,Florida,L (14-38),15,31,48.4,275,2,37,148,4,0,68,423,6.2,9,10,1,20,10,85,0,0,0
5,10/2/2021,Away,Tennessee,Missouri,W (62-24),15,19,78.9,225,3,59,458,7.8,5,78,683,8.8,10,22,3,35,2,20,0,0,0
6,10/9/2021,Home,Tennessee,South Carolina,W (45-20),17,23,73.9,225,3,49,247,5,3,72,472,6.6,8,15,1,24,2,30,0,0,0
7,10/16/2021,Home,Tennessee,Mississippi,L (26-31),18,29,62.1,245,1,50,222,4.4,2,79,467,5.9,11,16,2,29,6,48,1,0,1
8,10/23/2021,Away,Tennessee,Alabama,L (24-52),19,28,67.9,282,3,26,64,2.5,0,54,346,6.4,7,2,1,10,12,98,0,1,1
9,11/6/2021,Away,Tennessee,Kentucky,W (45-42),15,20,75,316,4,27,145,5.4,1,47,461,9.8,9,7,1,17,6,40,1,0,1
10,11/13/2021,Home,Tennessee,Georgia,L (17-41),30,47,63.8,332,2,36,55,1.5,0,83,387,4.7,15,5,2,22,6,40,1,1,2
11,11/20/2021,Home,Tennessee,South Alabama,W (60-14),24,29,82.8,311,2,43,250,5.8,5,72,561,7.8,12,15,1,28,6,45,0,0,0
12,11/27/2021,Home,Tennessee,Vanderbilt,W (45-21),10,18,55.6,156,2,42,285,6.8,3,60,441,7.4,7,18,1,26,4,40,1,0,1
