Rk,Date,Location,Team,Opponent,Result,Passing Cmp,Passing Att,Passing Pct,Passing Yds,Passing TD,Rushing Att,Rushing Yds,Rushing Avg,Rushing TD,Total Offense Plays,Total Offense Yds,Total Offense Avg,First Downs Pass,First Downs Rush,First Downs Pen,First Downs Tot,Penalties No.,Penalties Yds,Turnovers Fum,Turnovers Int,Turnovers Tot
1,9/4/2021,Home,Vanderbilt,East Tennessee State,L (3-23),24,44,54.5,236,0,31,85,2.7,0,75,321,4.3,15,5,3,23,8,70,1,2,3
2,9/11/2021,Away,Vanderbilt,Colorado State,W (24-21),27,42,64.3,238,2,37,104,2.8,1,79,342,4.3,11,4,6,21,9,62,1,0,1
3,9/18/2021,Home,Vanderbilt,Stanford,L (23-41),18,40,45,151,1,44,247,5.6,1,84,398,4.7,10,13,0,23,7,66,0,1,1
4,9/25/2021,Home,Vanderbilt,Georgia,L (0-62),5,18,27.8,24,0,28,53,1.9,0,46,77,1.7,1,2,1,4,4,29,1,2,3
5,10/2/2021,Home,Vanderbilt,Connecticut,W (30-28),27,40,67.5,333,2,33,106,3.2,1,73,439,6,13,8,2,23,5,80,1,1,2
6,10/9/2021,Away,Vanderbilt,Florida,L (0-42),24,46,52.2,199,0,34,88,2.6,0,80,287,3.6,11,5,3,19,3,35,0,2,2
7,10/16/2021,Away,Vanderbilt,South Carolina,L (20-21),11,21,52.4,206,1,39,106,2.7,1,60,312,5.2,5,8,2,15,3,15,1,1,2
8,10/23/2021,Home,Vanderbilt,Mississippi State,L (6-45),17,25,68,146,0,17,9,0.5,0,42,155,3.7,4,1,0,5,5,40,0,1,1
9,10/30/2021,Home,Vanderbilt,Missouri,L (28-37),14,28,50,122,3,37,258,7,1,65,380,5.8,7,10,3,20,5,31,0,1,1
10,11/13/2021,Home,Vanderbilt,Kentucky,L (17-34),20,29,69,170,2,30,96,3.2,0,59,266,4.5,8,7,1,16,6,31,0,1,1
11,11/20/2021,Away,Vanderbilt,Mississippi,L (17-31),22,44,50,241,0,49,213,4.3,1,93,454,4.9,11,12,2,25,7,39,0,1,1
12,11/27/2021,Away,Vanderbilt,Tennessee,L (21-45),17,32,53.1,206,1,43,115,2.7,2,75,321,4.3,8,9,1,18,4,30,0,1,1
