School;Primary;Secondary;Abbreviation_regex;Abrev;;;;;;;
Abilene Christian;#4F2170;#C5C6C8;(ABIL CHRISTIAN|ACU|ABILENECHR);ABIL CHRISTIAN;ACU;ABILENECHR;;;;;
Air Force;#003087;#8A8D8F;(AIR FORCE|AIRFORCE|AFA|AF);AIR FORCE;AIRFORCE;AFA;AF;;;;
Akron;#041E42;#A89968;(AKRON|AKR);AKRON;AKR;;;;;;
Alabama;#9e1b32;#828a8f;(ALABAMA|ALA|Alabama|Alab|UA);ALABAMA;ALA;Alabama;Alab;UA;;;
Alabama A&M;#660000;#FFFFFF;(AAMU|ALABAMA A&M|AAM);AAMU;ALABAMA A&M;AAM;;;;;
Alabama State;#C99700;#000000;(ALST|ALABAMA ST);ALST;ALABAMA ST;;;;;;
Albany;#461660;#EEB211;(ALBANY|ALB|UALBANY);ALBANY;ALB;UALBANY;;;;;
Alcorn State;#CE8E00;#4B306A;(ALCORN ST|ALCN|ALCORNST|ALC);ALCORN ST;ALCN;ALCORNST;ALC;;;;
Appalachian State;#222222;#FFCC00;(APPALACHIAN ST|APPALCHAN|APP STATE|AppSt|APP);APPALACHIAN ST;APPALCHAN;APP STATE;AppSt;APP;;;
Arizona;#CC0033;#003366;(ARIZONA|ARIZ|ARI|ARZ|Ariz);ARIZONA;ARIZ;ARI;ARZ;Ariz;;;
Arizona State;#8C1D40;#FFC627;(ARIZONA ST|ARIZONAST|ArzSt|ASU);ARIZONA ST;ARIZONAST;ArzSt;ASU;;;;
Arkansas;#9D2235;#FFFFFF;(ARKANSAS|ARK|Ark|AR);ARKANSAS;ARK;Ark;AR;;;;
Arkansas State;#CC092F;#000000;(ARKANSAS ST|ARKST|ArkSt|ASU|ARST|A-ST);ARKANSAS ST;ARKST;ArkSt;ASU;ARST;A-ST;;
Arkansas-Pine Bluff;#000000;#FDB913;(UAPB|ARK PINE BLUFF);UAPB;ARK PINE BLUFF;;;;;;
Army;#D4BF91;#B2B4B3;(ARMY|Army|ARM|AWP);ARMY;Army;ARM;AWP;;;;
Auburn;#0C2340;#E87722;(AUBURN|AUB|Aub|AU);AUBURN;AUB;Aub;AU;;;;
Austin Peay;#C41E3A;#ADAFAA;(AUSTINPEAY|APSU|APS);AUSTINPEAY;APSU;APS;;;;;
Ball State;#BA0C2F;#000000;(BALL ST|BALLST|BALL|BalSt|BSU);BALL ST;BALLST;BALL;BalSt;BSU;;;
Baylor;#154734;#FFB81C;(BAYLOR|BU|BAY|Baylor|Bayl);BAYLOR;BU;BAY;Baylor;Bayl;;;
Bethune-Cookman;#6F263D;#F2A900;(BCU|BETHUNE COOKMAN|BETHCOOK|BthCk);BCU;BETHUNE COOKMAN;BETHCOOK;BthCk;;;;
Boise State;#D64309;#0033A0;(BOISE ST|BOISEST|BoiSt|BSU|BOISE|BS);BOISE ST;BOISEST;BoiSt;BSU;BOISE;BS;;
Boston College;#98002E;#BC9B6A;(BOSTON COLLEGE|BOSTONCOLL|BOSTCOLL|BOS|BC|BC\.);BOSTON COLLEGE;BOSTONCOLL;BOSTCOLL;BOS;BC;BC\.;;
Bowling Green;#FE5000;#4F2C1D;(BOWLING GREEN|BOWLGREEN|BOW|BGSU|BGS|BG|BwGrn);BOWLING GREEN;BOWLGREEN;BOW;BGSU;BGS;BG;BwGrn;
Bryant;#B4975B;#818286;(BRYANT|BRY);BRYANT;BRY;;;;;;
Bucknell;#E87722;#003865;(BUCKNELL);BUCKNELL;;;;;;;
Buffalo;#005BBB;#FFFFFF;(BUFFALO|UB|Buff|BUF);BUFFALO;UB;Buff;BUF;;;;
BYU;#002E5D;#0062B8;(BYU);BYU;;;;;;;
Cal Poly;#003831;#FFE395;(CAL POLY|CPoly|CP);CAL POLY;CPoly;CP;;;;;
California;#003262;#3B7EA1;(CALIFORNIA|CAL|Cal);CALIFORNIA;CAL;Cal;;;;;
Campbell;#F58025;#231F20;(CAMPBELL|CAM);CAMPBELL;CAM;;;;;;
Central Arkansas;#4F2D7F;#818A8F;(CENTRAL ARK|UCA|CENTRALARK|CArk);CENTRAL ARK;UCA;CENTRALARK;CArk;;;;
Central Connecticut;#003087;#FFFFFF;(CCSU|CENTRAL CONN);CCSU;CENTRAL CONN;;;;;;
Central Michigan;#6A0032;#FFC82E;(CENTMICH|CENTRAL MICH|CMich|CMU);CENTMICH;CENTRAL MICH;CMich;CMU;;;;
Charleston Southern;#A8996E;#002855;(CHARLESTON SOU|CHASOTHERN|CSU|CHSO);CHARLESTON SOU;CHASOTHERN;CSU;CHSO;;;;
Charlotte;#046A38;#B9975B;(CHARLOTTE|CHAR|CHA|CLT);CHARLOTTE;CHAR;CHA;CLT;;;;
Chattanooga;#00386B;#E0AA0F;(CHATTANOOGA|CHATTANOOG|CHA|UTC);CHATTANOOGA;CHATTANOOG;CHA;UTC;;;;
Cincinnati;#E00122;#000000;(CINCINNATI|Cincy|CIN);CINCINNATI;Cincy;CIN;;;;;
Clemson;#F56600;#522D80;(CLEMSON|CU|Clem|CLE);CLEMSON;CU;Clem;CLE;;;;
Coastal Carolina;#006F71;#A27752;(CCU|COASTL CAROLINA|COASTALCAR|COASTAL);CCU;COASTL CAROLINA;COASTALCAR;COASTAL;;;;
Colgate;#821019;#5A646E;(COLGATE);COLGATE;;;;;;;
Colorado;#CFB87C;#000000;(COLORADO|COLO|Colo|COL|CU);COLORADO;COLO;Colo;COL;CU;;;
Colorado State;#1E4D2B;#C8C372;(COLORADO ST|COLOST|ColSt|CSU|CS);COLORADO ST;COLOST;ColSt;CSU;CS;;;
Connecticut;#000E2F;#7C878E;(CONNECTICUT|UCONN|UConn|CON|UCO);CONNECTICUT;UCONN;UConn;CON;UCO;;;
Delaware;#00539F;#FFD200;(DELAWARE|DEL);DELAWARE;DEL;;;;;;
Delaware State;#EE3124;#72CDF4;(DELAWARE ST|DSU|DelSt);DELAWARE ST;DSU;DelSt;;;;;
Drake;#004477;#999999;(DRAKE|DU);DRAKE;DU;;;;;;
Duke;#003087;#FFFFFF;(DUKE|DUK|DU);DUKE;DUK;DU;;;;;
Duquesne;#041E42;#BA0C2F;(DUQUESNE|DUQ);DUQUESNE;DUQ;;;;;;
East Carolina;#592A8A;#FDC82F;(EAST CAROLINA|EASTCRLINA|ECU);EAST CAROLINA;EASTCRLINA;ECU;;;;;
East Tennessee State;#041E42;#FFC72C;(ETSU|EAST TENN ST);ETSU;EAST TENN ST;;;;;;
Eastern Illinois;#919295;#004B83;(EASTRN ILLINOIS|EIU);EASTRN ILLINOIS;EIU;;;;;;
Eastern Kentucky;#4C151E;#FFFFFF;(EKU|EASTRN KENTUCKY|EASTERNKY);EKU;EASTRN KENTUCKY;EASTERNKY;;;;;
