Regular_2014;Postseason_2014;Regular_2015;Postseason_2015;Regular_2016;Postseason_2016;Regular_2017;Postseason_2017;Regular_2018;Postseason_2018;Regular_2019;Postseason_2019;Regular_2020;Postseason_2020;Regular_2021;Postseason_2021
wk01;wk01;wk01;wk01;wk01;wk01;wk01;wk01;wk01;wk01;wk01;wk01;wk01;wk01;wk01;wk01
wk02;wk02;wk02;wk02;wk02;wk02;wk02;wk02;wk02;wk02;wk02;wk02;wk02;wk02;wk02;wk02
wk03;;wk03;;wk03;;wk03;;wk03;;wk03;;wk03;;wk03;
wk04;;wk04;;wk04;;wk04;;wk04;;wk04;;wk04;;wk04;
wk05;;wk05;;wk05;;wk05;;wk05;;wk05;;wk05;;wk05;
wk06;;wk06;;wk06;;wk06;;wk06;;wk06;;wk06;;wk06;
wk07;;wk07;;wk07;;wk07;;wk07;;wk07;;wk07;;wk07;
wk08;;wk08;;wk08;;wk08;;wk08;;wk08;;wk08;;wk08;
wk09;;wk09;;wk09;;wk09;;wk09;;wk09;;wk09;;wk09;
wk10;;wk10;;wk10;;wk10;;wk10;;wk10;;wk10;;wk10;
wk11;;wk11;;wk11;;wk11;;wk11;;wk11;;wk11;;wk11;
wk12;;wk12;;wk12;;wk12;;wk12;;wk12;;wk12;;wk12;
wk13;;wk13;;wk13;;wk13;;wk13;;wk13;;wk13;;wk13;
wk14;;wk14;;wk14;;wk14;;wk14;;wk14;;wk14;;wk14;
wk15;;;;;;wk15;;;;wk15;;wk15;;;
;;;;;;;;;;;;wk16;;;
