Matchup,Time,TV
"Thursday, September 28, 2023",,
Middle Tennessee @ Western Kentucky,"6:30 PM	",CBSSN
Temple @ Tulsa,"6:30 PM	",ESPN
Jacksonville State @ Sam Houston,"7:00 PM	",ESPNU
"Friday, September 29, 2023",,
Louisville @ NC State,"6:00 PM	",ESPN
Utah @ Oregon State,"8:00 PM	",FS1
Louisiana Tech @ UTEP,"8:00 PM	",CBSSN
Cincinnati @ BYU,"9:15 PM	",ESPN
"Saturday, September 30, 2023",,
Penn State @ Northwestern,"11:00 AM	",BTN
USC @ Colorado,"11:00 AM	",FOX
Florida @ Kentucky,"11:00 AM	",ESPN
Texas A&M @ Arkansas,"11:00 AM	",SECN
Louisiana @ Minnesota,"11:00 AM	",BTN
Utah State @ UConn,"11:00 AM	",CBSSN
Clemson @ Syracuse,"11:00 AM	",ABC
UAB @ Tulane,"11:00 AM	",ESPN2
South Alabama @ James Madison,"11:00 AM	",ESPNU
Buffalo @ Akron,"11:00 AM	",ESPN+
Eastern Michigan @ Central Michigan,"12:30 PM	",ESPN+
Virginia @ Boston College,"1:00 PM	",CW NETWORK
Miami (OH) @ Kent State,"1:30 PM	",ESPN+
Arizona State @ California,"2:00 PM	",PAC12
Georgia @ Auburn,"2:30 PM	",CBS
Michigan @ Nebraska,"2:30 PM	",FOX
Kansas @ Texas,"2:30 PM	",ABC
Indiana @ Maryland,"2:30 PM	",BTN
Illinois @ Purdue,"2:30 PM	",Peacock
Wagner @ Rutgers,"2:30 PM	",BTN
Bowling Green @ Georgia Tech,"2:30 PM	",ACCN
Houston @ Texas Tech,"2:30 PM	",FS2
Baylor @ UCF,"2:30 PM	",FS1
Arkansas State @ Massachusetts,"2:30 PM	",ESPN+
South Florida @ Navy,"2:30 PM	",CBSSN
Old Dominion @ Marshall,"2:30 PM	",ESPN+
Ball State @ Western Michigan,"2:30 PM	",ESPN+
Northern Illinois @ Toledo,"2:30 PM	",ESPNU
Missouri @ Vanderbilt,"3:00 PM	",SECN
Boise State @ Memphis,"3:00 PM	",ESPN2
Hawai'i @ UNLV,"3:00 PM	",None
LSU @ Ole Miss,"5:00 PM	",ESPN
Oregon @ Stanford,"5:30 PM	",PAC12
Iowa State @ Oklahoma,"6:00 PM	",FS1
East Carolina @ Rice,"6:00 PM	",ESPN+
Abilene Christian @ North Texas,"6:00 PM	",ESPN+
Coastal Carolina @ Georgia Southern,"6:00 PM	",NFL NET
Troy @ Georgia State,"6:00 PM	",ESPN+
Texas State @ Southern Miss,"6:00 PM	",ESPN+
Utah Tech @ Colorado State,"6:00 PM	",None
South Carolina @ Tennessee,"6:30 PM	",SECN
Michigan State @ Iowa,"6:30 PM	",NBC/Peacock
Charlotte @ SMU,"6:30 PM	",ESPNU
Pittsburgh @ Virginia Tech,"7:00 PM	",ACCN
West Virginia @ TCU,"7:00 PM	",ESPN2
Appalachian State @ UL Monroe,"7:00 PM	",ESPN+
San Diego State @ Air Force,"7:00 PM	",CBSSN
Alabama @ Mississippi State,"8:00 PM	",ESPN
Washington @ Arizona,"9:00 PM	",PAC12
Nevada @ Fresno State,9:30 PM,FS1
