Matchup,Time,TV
South Alabama @ App State,6:30 PM	,ESPN
Stanford @ Syracuse,6:30 PM	,ESPN
Illinois @ Nebraska,7:00 PM	,FOX
San José State @ Washington State,9:00 PM	,The CW Network
Marshall @ Ohio State,11:00 AM	,FOX
NC State @ Clemson,11:00 AM	,ABC/ESPN+
Florida @ Mississippi State,11:00 AM	,ESPN
Charlotte @ Indiana,11:00 AM	,BTN
Villanova @ Maryland,11:00 AM	,BTN
James Madison @ North Carolina,11:00 AM	,ACC Network
Houston @ Cincinnati,11:00 AM	,FS1
Kansas @ West Virginia,11:00 AM	,ESPN2
Tulane @ Louisiana,11:00 AM	,ESPNU
Rice @ Army,11:00 AM	,CBSSN
Ohio @ Kentucky,11:45 AM	,SEC Network
Ball State @ Central Michigan,12:00 PM	,ESPN+
Arkansas State @ Iowa State,1:00 PM	,ESPN+
Virginia @ Coastal Carolina,1:00 PM	,ESPN+
Utah State @ Temple,1:00 PM	,ESPN+
St. Francis (PA) @ Eastern Michigan,1:00 PM	,ESPN+
Southern Miss @ Jacksonville State,2:00 PM	,ESPN+
Eastern Washington @ Nevada,2:00 PM,None
Kent State @ Penn State,2:30 PM	,BTN
USC @ Michigan,2:30 PM	,CBS
UCLA @ LSU,2:30 PM	,ABC/ESPN+
Miami (OH) @ Notre Dame,2:30 PM	,NBC/Peacock
Georgia Tech @ Louisville,2:30 PM	,ESPN2
Buffalo @ Northern Illinois,2:30 PM	,ESPN+
Arkansas @ Auburn,2:30 PM	,ESPN
Rutgers @ Virginia Tech,2:30 PM	,ACC Network
Central Connecticut @ Massachusetts,2:30 PM	,ESPN+
Youngstown State @ Pittsburgh,2:30 PM	,ESPN+/ACC Extra
Arizona State @ Texas Tech,2:30 PM	,FS1
Memphis @ Navy,2:30 PM	,CBSSN
Houston Christian @ UTSA,2:30 PM	,ESPN+
Utah @ Oklahoma State,3:00 PM	,FOX
Duke @ Middle Tennessee,3:00 PM	,ESPNU
Vanderbilt @ Missouri,3:15 PM	,SEC Network
TCU @ SMU,4:00 PM	,The CW Network
UTEP @ Colorado State,4:00 PM	,truTV/Max
Monmouth @ Florida International,5:00 PM	,ESPN+
East Carolina @ Liberty,5:00 PM	,ESPN+
Miami @ South Florida,6:00 PM	,ESPN
Northwestern @ Washington,6:00 PM	,FS1
Florida Atlantic @ UConn,6:00 PM	,CBSSN
California @ Florida State,6:00 PM	,ESPN2
Florida A&M @ Troy,6:00 PM	,ESPN+
Tulsa @ Louisiana Tech,6:00 PM	,ESPN+
New Mexico State @ Sam Houston,6:00 PM	,ESPN+
Toledo @ Western Kentucky,6:00 PM	,ESPN+
Wyoming @ North Texas,6:00 PM	,ESPN+
Tennessee @ Oklahoma,6:30 PM	,ABC/ESPN+
Bowling Green @ Texas A&M,6:30 PM	,ESPN+/SECN+
Akron @ South Carolina,6:30 PM	,ESPNU
Iowa @ Minnesota,6:30 PM	,NBC
Georgia Southern @ Ole Miss,6:45 PM	,SEC Network
UL Monroe @ Texas,7:00 PM	,ESPN+/SECN+
Michigan State @ Boston College,7:00 PM	,ACC Network
Baylor @ Colorado,7:00 PM	,FOX
Fresno State @ New Mexico,7:30 PM	,truTV/Max
Purdue @ Oregon State,7:30 PM	,The CW Network
Portland State @ Boise State,8:45 PM	,FS1
