ID,First_name,Last_name,Team,Height,Weight,Jersey,Year,Position,Home_city,Home_state,Home_country,Home_latitude,Home_longitude,Home_county_fips,Recruit_ids
550463,Demetrius,Cooper,Michigan State,78,249,98,No data,DE,Chicago,IL,USA,41.8755616,-87.6244212,17031,25572
550468,Gerald,Holmes,Michigan State,73,231,24,No data,RB,Flint,MI,USA,43.0161693,-83.6900211,26049,25640
550470,Shane,Jones,Michigan State,73,236,49,No data,LB,Cincinnati,OH,USA,39.1014537,-84.5124602,39061,25215
550474,Jon,Reschke,Michigan State,75,No data,28,No data,LB,Sterling Heights,MI,USA,42.5803122,-83.0302033,26099,25143
550477,Damion,Terry,Michigan State,76,220,6,No data,QB,Erie,PA,USA,42.1294712,-80.0852695,42049,25158
3121376,Chris,Frey,Michigan State,74,238,23,No data,LB,Upper Arlington,OH,USA,39.9945084,-83.0624078,39049,28820
3121378,Matt,Sokol,Michigan State,78,255,81,4,TE,Rochester,MI,USA,42.680588,-83.1338214,27109,28813
3134668,Robert,Bowers,Michigan State,77,249,91,No data,DE,Columbus,OH,USA,39.9622601,-83.0007065,39049,28971
3134669,Byron,Bullough,Michigan State,73,232,38,4,LB,Traverse City,MI,USA,44.7606441,-85.6165301,26055,28630
3134675,T.J.,Harrell,Michigan State,72,198,31,No data,CB,Tampa,FL,USA,27.9477595,-82.458444,12057,28714
3134676,Jake,Hartbarger,Michigan State,76,194,5,4,P,Waterville,OH,USA,41.5008859,-83.7182701,39095,29350
3134678,Madre,London,Michigan State,73,213,31,4,RB,Fort Lauderdale,FL,USA,26.1223084,-80.1433786,12011,28658
3134682,Matt,Morrissey,Michigan State,75,204,10,4,S,Lincolnshire,IL,USA,42.1900249,-87.9084039,17097,29139
3134684,Gerald,Owens,Michigan State,74,306,41,4,DT,Thorofare,NJ,USA,39.8423355,-75.1962913,34015,28581
3885821,Tyriq,Thompson,Michigan State,73,228,17,4,LB,Detroit,MI,USA,42.3315509,-83.0466403,26163,32217
3916588,Matt,Seybert,Michigan State,76,252,80,4,TE,Traverse City,MI,USA,44.7606441,-85.6165301,26055,34032
3929812,Justice,Alexander,Michigan State,77,257,97,3,DE,Macedonia,OH,USA,41.313667,-81.50845,39153,32782
3929814,Josh,Butler,Michigan State,72,182,19,4,CB,Mesquite,TX,USA,32.7666103,-96.599472,48113,32187
3929815,Collin,Caflisch,Michigan State,76,280,57,3,LS,Canton,MI,USA,42.3076547,-83.4868961,28089,35014
3929816,Cole,Chewins,Michigan State,80,303,61,4,OT,Clarkston,MI,USA,42.735863,-83.4188304,26125,33445
3929817,Felton,Davis III,Michigan State,76,195,18,4,WR,Richmond,VA,USA,37.5385087,-77.43428,51760,32337
3929818,Andrew,Dowell,Michigan State,73,225,5,4,LB,North Ridgeville,OH,USA,41.3894905,-82.0190321,39093,32198
3929819,David,Dowell,Michigan State,73,209,6,4,S,North Ridgeville,OH,USA,41.3894905,-82.0190321,39093,32178
3929822,Tyler,Higby,Michigan State,77,300,70,4,OL,Houston,TX,USA,29.7589382,-95.3676974,48201,32451
3929824,Brian,Lewerke,Michigan State,75,216,14,4,QB,Phoenix,AZ,USA,33.4484367,-112.0741417,04013,32263
3929826,Grayson,Miller,Michigan State,75,208,44,4,LB,Georgetown,KY,USA,38.2097967,-84.5588311,21209,32877
