ID,First_name,Last_name,Team,Height,Weight,Jersey,Year,Position,Home_city,Home_state,Home_country,Home_latitude,Home_longitude,Home_county_fips,Recruit_ids
4035002,Ben,Cleveland,Georgia,78,335,74,4,OL,Toccoa,GA,USA,34.5774368,-83.332881,13257,35275
4035016,Julian,Rochester,Georgia,77,300,92,4,DL,Mableton,GA,USA,33.8188333,-84.5822632,13067,35251
4035851,Demetris,Robertson,Georgia,72,190,16,4,WR,Savannah,GA,USA,32.0809263,-81.0911768,13051,35197
4037213,Jamie,Newman,Georgia,76,230,No data,4,QB,Graham,NC,USA,36.0690258,-79.4005756,37001,35828
4240023,Tre',McKitty,Georgia,77,245,No data,4,TE,Wesley Chapel,FL,USA,28.1866014,-82.36612096903323,12101,39045
4240686,Richard,LeCounte,Georgia,71,190,2,4,DB,Riceboro,GA,USA,31.7354935,-81.4334408,13179,38647
4240692,Monty,Rice,Georgia,73,235,32,4,LB,Madison,AL,USA,34.6928726,-86.7511427,01089,38980
4259546,Ameer,Speed,Georgia,75,211,9,4,DB,Jacksonville,FL,USA,30.3321838,-81.655651,12031,38974
4259547,Malik,Herring,Georgia,75,280,10,4,DL,Forsyth,GA,USA,33.0342974,-83.938242,13207,38773
4259549,Trey,Blount,Georgia,74,200,9,3,WR,Atlanta,GA,USA,33.7490987,-84.3901849,13121,38942
4259550,Matt,Landers,Georgia,77,200,No data,3,WR,Saint Petersburg,FL,USA,27.7703796,-82.6695085,12103,39304
4259554,Nate,McBride,Georgia,74,223,22,4,LB,Vidalia,GA,USA,32.2176855,-82.4134614,13279,38790
4259557,William,Poole,Georgia,72,190,31,4,DB,Atlanta,GA,USA,33.7490987,-84.3901849,13121,38814
4259558,Robert,Beal Jr.,Georgia,76,255,33,4,LB,Norcross,GA,USA,33.9412127,-84.2135309,13135,38730
4259559,Latavious,Brini,Georgia,74,210,36,4,DB,Miami Gardens,FL,USA,25.9423108,-80.23976495072381,12086,39131
4259561,Eric,Stokes,Georgia,73,185,27,3,DB,Covington,GA,USA,33.5967815,-83.8601827,13217,39292
4259565,Justin,Shaffer,Georgia,76,330,54,4,OL,Ellenwood,GA,USA,33.6101096,-84.287978,13063,39005
4259567,Netori,Johnson,Georgia,76,325,72,3,OL,Ellenwood,GA,USA,33.6101096,-84.287978,13063,38714
4259570,Mark,Webb,Georgia,73,200,23,4,DB,Philadelphia,PA,USA,39.9527237,-75.1635262,42101,38759
4259571,Walter,Grant,Georgia,76,245,84,4,LB,Cairo,GA,USA,30.8774063,-84.2013936,13131,38825
4259575,Bill,Rubright,Georgia,75,182,93,3,P,Atlanta,GA,USA,33.7490987,-84.3901849,13121,40656
4259576,Brooks,Buce,Georgia,72,175,97,3,PK,Johns Creek,GA,USA,34.0181557,-84.190196,13121,42089
