ID,First_name,Last_name,Team,Height,Weight,Jersey,Year,Position,Home_city,Home_state,Home_country,Home_latitude,Home_longitude,Home_county_fips,Recruit_ids
3672865,Scott,Patchan,Miami,78,255,1,4,DL,Bradenton,FL,USA,27.4989278,-82.5748194,12081,32302
3916566,K.J.,Osborn,Miami,72,205,2,4,WR,Ypsilanti,MI,USA,42.24253,-83.6171426940706,26161,34184
3917850,Robert,Knowles,Miami,73,195,20,4,DB,Miami,FL,USA,25.7742658,-80.1936589,12086,33307
3929955,Trevon,Hill,Miami,75,245,94,4,DL,Virginia Beach,VA,USA,36.8529841,-75.9774183,51810,32283
4037451,Pat,Bethel,Miami,75,290,93,4,DL,Vero Beach,FL,USA,27.6387163,-80.3975399,12061,35464
4037455,Romeo,Finley,Miami,73,218,30,4,LB,Fort Walton Beach,FL,USA,30.4057552,-86.618842,12091,35607
4037458,Michael,Irvin II,Miami,75,234,87,4,TE,Fort Lauderdale,FL,USA,26.1223084,-80.1433786,12011,35805
4037463,Tyreic,Martin,Miami,75,295,90,3,DL,Lanett,AL,USA,32.8687391,-85.1904971,01017,36352
4037464,Zach,McCloud,Miami,74,254,53,4,DL,Lantana,FL,USA,26.5865308,-80.052166,12099,35505
4037467,Michael,Pinckney,Miami,73,230,56,4,LB,Jacksonville,FL,USA,30.3321838,-81.655651,12031,35690
4037468,Shaquille,Quarterman,Miami,73,240,55,4,LB,Orange Park,FL,USA,30.1654707,-81.7016346,12019,35293
4240624,Trajan,Bandy,Miami,69,190,2,3,DB,Miami,FL,USA,25.7742658,-80.1936589,12086,38855
4240625,Mike,Harley,Miami,71,182,3,4,WR,Fort Lauderdale,FL,USA,26.1223084,-80.1433786,12011,38924
4240626,Jeff,Thomas,Miami,70,170,4,3,WR,East Saint Louis,IL,USA,38.6244952,-90.1509429,17163,38665
4240627,Amari,Carter,Miami,74,202,5,4,S,Palm Beach Gardens,FL,USA,26.8418256,-80.13590694666684,12099,39093
4240628,N'Kosi,Perry,Miami,76,198,No data,4,QB,Ocala,FL,USA,29.1871986,-82.1400923,12083,38818
4240631,DeeJay,Dallas,Miami,70,215,13,3,RB,Brunswick,GA,USA,31.1499528,-81.4914894,13127,38889
4240632,Waynmon,Steed,Miami,72,225,17,3,LB,Miami,FL,USA,25.7742658,-80.1936589,12086,39266
4240636,Robert,Burns,Miami,71,220,30,4,RB,Miami,FL,USA,25.7742658,-80.1936589,12086,39091
4240638,Marshall,Few,Miami,71,190,27,3,WR,Ponte Vedra Beach,FL,USA,30.2396865,-81.3856384,12109,41687
4240641,Michael,Parrott,Miami,71,235,41,3,FB,Canton,NC,USA,35.5328838,-82.8373558,37087,41869
4240642,Bradley,Jennings Jr.,Miami,73,230,44,3,LB,Jacksonville,FL,USA,30.3321838,-81.655651,12031,39322
4240647,Navaughn,Donaldson,Miami,78,350,55,4,OL,Miami,FL,USA,25.7742658,-80.1936589,12086,38696
4240648,Kai-Leon,Herbert,Miami,77,305,57,3,OL,Plantation,FL,USA,26.1265258,-80.25786123765101,12011,38877
4240649,Corey,Gaynor,Miami,76,308,65,3,OL,Parkland,FL,USA,26.32199775,-80.27391641697518,12011,39826
4240650,Zach,Dykstra,Miami,78,300,67,2,OL,Spirit Lake,IA,USA,43.4221843,-95.1022169,19059,39352
4240651,Zalon'tae,Hillery,Miami,78,308,75,3,OL,Brunswick,GA,USA,31.1499528,-81.4914894,13127,39126
4240653,Evidence,Njoku,Miami,77,235,82,3,TE,Cedar Grove,NJ,USA,40.8517662,-74.229035,34013,39139
4240654,Brian,Polendey,Miami,77,260,88,3,TE,Denton,TX,USA,33.2150386,-97.1330516,48121,39134
4240655,Jonathan,Garvin,Miami,76,256,97,3,DL,Lake Worth,FL,USA,26.615891,-80.0691435,12099,38903
4241992,Tate,Martell,Miami,71,198,18,3,QB,Las Vegas,NV,USA,36.1672559,-115.1485163,32003,38682
4242975,Jaelan,Phillips,Miami,77,266,15,3,DL,Redlands,CA,USA,34.055735,-117.1888961,06071,38626
4259631,Bubba,Bolden,Miami,75,204,21,3,S,Las Vegas,NV,USA,36.1672559,-115.1485163,32003,38686
4362496,Lorenzo,Lingard,Miami,72,203,21,2,RB,Orange City,FL,USA,28.9488761,-81.2986741,12127,42932
4362497,Nesta Jade,Silvera,Miami,74,306,1,3,DL,Pembroke Pines,FL,USA,26.02322025,-80.34123906625615,12011,42961
4362498,Gilbert,Frierson,Miami,73,210,3,2,S,Coral Gables,FL,USA,25.72149,-80.2683838,12086,43107
4362499,Mark,Pope,Miami,73,175,6,3,WR,Miami,FL,USA,25.7742658,-80.1936589,12086,42974
4362500,Al,Blades Jr.,Miami,73,188,7,3,CB,Fort Lauderdale,FL,USA,26.1223084,-80.1433786,12011,43004
4362501,Brian,Hightower,Miami,75,210,14,3,WR,Leimert Park,CA,USA,34.007702,-118.3320627,06037,43061
4362501,Brian,Hightower,Miami,75,210,14,3,WR,Leimert Park,CA,USA,34.007702,-118.3320627,06037,67896
4362502,DJ,Ivey,Miami,73,195,8,3,CB,Florida City,FL,USA,25.4480101,-80.479102,12086,43260
4362503,Dee,Wiggins,Miami,75,195,8,3,WR,Miami,FL,USA,25.7742658,-80.1936589,12086,43371
4362504,Brevin,Jordan,Miami,75,245,9,3,TE,Las Vegas,NV,USA,36.1672559,-115.1485163,32003,42940
4362506,Gregory,Rousseau,Miami,78,260,15,1,DL,Coconut Creek,FL,USA,26.271462800000002,-80.18180791688866,12011,43392
4362507,Jarren,Williams,Miami,75,209,1,2,QB,Lawrenceville,GA,USA,33.9562149,-83.9879625,13135,42984
4362508,Bubba,Baxa,Miami,72,210,41,3,PK,Pasadena,TX,USA,29.6910625,-95.2091006,48201,44977
4362509,Cam'Ron,Harris,Miami,70,210,23,3,RB,Opa Locka,FL,USA,25.896733849999997,-80.25949640850294,12086,43080
4362510,Gurvan,Hall Jr.,Miami,72,192,26,3,S,West Palm Beach,FL,USA,26.715364,-80.0532942,12099,43091
4362511,Nigel,Bethel Jr.,Miami,72,170,27,2,CB,Miami,FL,USA,25.7742658,-80.1936589,12086,44193
4362516,Realus,George Jr.,Miami,73,278,99,2,DL,Atlanta,GA,USA,33.7490987,-84.3901849,13121,44363
4362517,DJ,Scaife Jr.,Miami,75,306,51,3,OL,Miami,FL,USA,25.7742658,-80.1936589,12086,43056
4362519,Cleveland,Reed Jr.,Miami,75,320,52,2,OL,Fort Meade,FL,USA,27.7522526,-81.8017491,12105,43166
4362521,Jared,Griffith,Miami,75,318,71,2,OL,Sarasota,FL,USA,27.3364347,-82.5306527,12115,45577
4362522,John,Campbell Jr.,Miami,77,320,74,2,OL,Orlando,FL,USA,28.5421109,-81.3790304,12095,43388
