ID,First_name,Last_name,Team,Height,Weight,Jersey,Year,Position,Home_city,Home_state,Home_country,Home_latitude,Home_longitude,Home_county_fips,Recruit_ids
546651,Rachid,Ibrahim,Wisconsin,72,195,9,No data,RB,Rockville,MD,USA,39.0840054,-77.1527573,24031,26392
546846,Garret,Dooley,Wisconsin,75,246,5,No data,OLB,Rochester,IL,USA,39.7494943,-89.5317603,36055,25441
546848,Joe,Ferguson,Wisconsin,73,195,8,No data,S,Madison,WI,USA,43.074761,-89.3837613,55025,66723
546849,Troy,Fumagalli,Wisconsin,78,248,81,No data,TE,Aurora,IL,USA,41.7571701,-88.3147539,17089,26314
546852,Leon,Jacobs,Wisconsin,74,245,32,No data,FB,San Pedro,CA,USA,33.7358518,-118.2922934,06037,26578
546853,Alec,James,Wisconsin,75,272,57,No data,DE,Brookfield,WI,USA,43.0605671,-88.1064787,55133,25403
546859,Chikwe,Obasih,Wisconsin,75,275,34,No data,DE,Brookfield,WI,USA,43.0605671,-88.1064787,55133,25299
546860,Jazz,Peavy,Wisconsin,72,189,11,No data,WR,Kenosha,WI,USA,42.5846773,-87.8212263,55059,26278
550839,Austin,Ramesh,Wisconsin,73,255,20,No data,RB,Land O’ Lakes,WI,USA,46.1613393,-89.2187492,55125,25550
3121537,Beau,Benzschawel,Wisconsin,78,322,66,4,OL,Grafton,WI,USA,43.3197265,-87.9534226,55089,29710
3121540,Taiwan,Deal,Wisconsin,73,225,28,4,RB,Capitol Heights,MD,USA,38.8853963,-76.9159441,24033,28606
3121541,Michael,Deiter,Wisconsin,78,321,63,4,OL,Curtice,OH,USA,41.618382,-83.3677069,39123,29341
3121542,D'Cota,Dixon,Wisconsin,70,200,14,4,S,Oak Hill,FL,USA,28.8644338,-80.8544975,12127,29099
3121544,T.J.,Edwards,Wisconsin,73,248,53,4,ILB,Lake Villa,IL,USA,42.4169651,-88.0739708,17097,30309
3121545,Lubern,Figaro,Wisconsin,72,188,31,No data,CB,Everett,MA,USA,42.40843,-71.0536625,25017,29393
3121547,Rafael,Gaglianone,Wisconsin,71,236,27,4,PK,Sao Paulo,,Brazil,No data,No data,No data,29433
