ID,First_name,Last_name,Team,Height,Weight,Jersey,Year,Position,Home_city,Home_state,Home_country,Home_latitude,Home_longitude,Home_county_fips,Recruit_ids
500247,Soma,Vainuku,USC,72,No data,31,No data,FB,Eureka,CA,USA,40.8020712,-124.1636729,06023,17546
500253,Randall,Telfer,USC,76,No data,82,No data,TE,Rancho Cucamonga,CA,USA,34.1033192,-117.5751735,06071,17237
512842,George,Farmer,USC,73,No data,88,No data,WR,Los Angeles,CA,USA,34.0536909,-118.2427666,06037,19578
513329,Cody,Kessler,USC,73,No data,6,No data,QB,Bakersfield,CA,USA,35.3738712,-119.0194639,06029,19713
513331,Tre,Madden,USC,72,No data,13,No data,LB,Aliso Viejo,CA,USA,33.5761376,-117.7258122,06059,19827
513338,Kris,Albarado,USC,70,No data,17,No data,P,Lake Charles,LA,USA,30.2265949,-93.2173759,22019,21086
513339,Javorius,Allen,USC,73,No data,37,No data,?,Tallahassee,FL,USA,30.4380832,-84.2809332,12073,19861
517189,Andre,Heidari,USC,70,No data,48,No data,PK,Bakersfield,CA,USA,35.3738712,-119.0194639,06029,20545
517190,Lamar,Dawson,USC,73,No data,55,No data,ILB,Junction City,KY,USA,37.5850235,-84.7911781555246,21021,19698
517191,Anthony,Sarao,USC,72,No data,56,No data,ILB,Atlantic City,NJ,USA,39.3642852,-74.4229351,34001,19738
517201,Victor,Blackwell,USC,73,No data,85,No data,WR,Cerritos,CA,USA,33.8644291,-118.0539323,06037,19654
530991,Kevon,Seymour,USC,72,No data,13,No data,CB,Pasadena,CA,USA,34.1476452,-118.1444779,06037,22167
530992,Gerald,Bowman,USC,72,No data,27,No data,S,Philadelphia,PA,USA,39.9527237,-75.1635262,42101,53480
530996,Jahleel,Pinner,USC,71,No data,38,No data,FB,Rancho Santa Margarita,CA,USA,33.6408845,-117.6029341,06059,22499
530997,Jabari,Ruffin,USC,75,No data,40,No data,DE,Downey,CA,USA,33.942215,-118.1235646,06037,22095
531005,Max,Tuerk,USC,78,No data,75,No data,C,Trabuco Canyon,CA,USA,33.6626232,-117.58938,06059,22098
531008,Zach,Banner,USC,81,No data,73,No data,OT,Tacoma,WA,USA,47.2495798,-122.4398746,53053,22100
531009,Darreus,Rogers,USC,74,No data,84,No data,WR,Compton,CA,USA,33.894927,-118.226624,06037,22143
531010,Nelson,Agholor,USC,73,No data,15,No data,WR,Tampa,FL,USA,27.9477595,-82.458444,12057,22067
531012,Jalen,Cope-Fitzpatrick,USC,76,No data,88,No data,TE,Rocklin,CA,USA,38.7907339,-121.2357828,06061,22138
531014,Leonard,Williams,USC,77,No data,94,No data,DE,Daytona Beach,FL,USA,29.2108147,-81.0228331,12127,22086
546415,Max,Browne,USC,77,230,4,No data,QB,Sammamish,WA,USA,47.6088445,-122.0423067,53033,24967
546416,Michael,Hutchings,USC,73,No data,19,No data,ILB,Antioch,CA,USA,38.0049214,-121.805789,06013,25063
546417,Su'a,Cravens,USC,73,No data,21,No data,S,Los Angeles,CA,USA,34.0536909,-118.2427666,06037,24961
546418,Justin,Davis,USC,73,No data,22,No data,?,Stockton,CA,USA,37.9577016,-121.2907796,06077,25054
546419,Leon,McQuay III,USC,73,No data,22,No data,DB,Seffner,FL,USA,27.998541000000003,-82.27488400114905,12057,24987
546421,Chris,Hawkins,USC,71,190,4,No data,CB,Rancho Cucamonga,CA,USA,34.1033192,-117.5751735,06071,25007
546424,Quinton,Powell,USC,74,No data,18,No data,ILB,Deltona,FL,USA,28.9005446,-81.2636738,12127,25128
3120347,Adoree',Jackson,USC,71,No data,2,No data,DB,Belleville,IL,USA,38.5200504,-89.9839935,17163,28215
3120348,JuJu,Smith-Schuster,USC,74,No data,9,No data,WR,Long Beach,CA,USA,33.7690164,-118.1916048,06037,28228
3120349,Jalen,Greene,USC,74,200,10,No data,WR,Inglewood,CA,USA,33.9562003,-118.353132,06037,28689
3120350,Bryce,Dixon,USC,76,No data,13,No data,TE,Oxnard,CA,USA,34.1976308,-119.1803818,06111,28312
3120353,Ajene,Harris,USC,70,190,27,4,CB,Los Angeles,CA,USA,34.0536909,-118.2427666,06037,29663
3120354,Jonathan,Lockett,USC,71,180,23,4,CB,Bellflower,CA,USA,33.8825705,-118.1167679,06037,28389
3120356,John,Plattenburg,USC,71,No data,24,No data,DB,Houston,TX,USA,29.7589382,-95.3676974,48201,28584
3120357,Olajuwon,Tucker,USC,74,220,34,No data,OLB,Harbor City,CA,USA,33.7972822,-118.3004717,06037,28551
3120358,Uchenna,Nwosu,USC,74,240,42,No data,OLB,Carson,CA,USA,33.8322043,-118.2517547,06037,29059
3120359,Malik,Dorton,USC,74,280,44,4,DL,Los Angeles,CA,USA,34.0536909,-118.2427666,06037,28626
3120360,Toa,Lobendahn,USC,75,290,50,4,C,Cerritos,CA,USA,33.8644291,-118.0539323,06037,28338
3120364,Viane,Talamaivao,USC,74,325,60,No data,G,Moreno Valley,CA,USA,33.937517,-117.2305944,06065,28294
3134323,Jalen,Jones,USC,68,165,18,No data,CB,Los Angeles,CA,USA,34.0536909,-118.2427666,06037,30562
3134329,Grant,Moore,USC,72,210,50,No data,ILB,Santa Ana,CA,USA,33.7494951,-117.8732213,06059,30764
3134331,Reuben,Peters,USC,72,230,47,4,ILB,Westchester,CA,USA,33.9597349,-118.4006322,06037,29786
3912552,Ykili,Ross,USC,73,190,43,4,S,Riverside,CA,USA,33.9533546,-117.3961623,06065,31943
3912560,Noah,Jefferson,USC,77,300,91,4,DT,Las Vegas,NV,USA,36.1672559,-115.1485163,32003,32122
3912560,Noah,Jefferson,USC,77,300,91,4,DT,Las Vegas,NV,USA,36.1672559,-115.1485163,32003,56041
3912561,Jacob,Daniel,USC,76,310,52,4,G,Fresno,CA,USA,36.7295295,-119.70886126075588,06019,31928
3932934,Clayton,Bradley,USC,78,310,76,4,OL,Orange,CA,USA,33.7872568,-117.8503088,06059,32184
