ID,First_name,Last_name,Team,Height,Weight,Jersey,Year,Position,Home_city,Home_state,Home_country,Home_latitude,Home_longitude,Home_county_fips,Recruit_ids
3728242,Shadell,Bell,Coastal Carolina,73,225,11,4,TE,Decatur,GA,USA,33.7737582,-84.296069,13089,32333
3728252,Sterling,Johnson,Coastal Carolina,76,280,6,4,DT,Clayton,NC,USA,35.650711,-78.4563914,37101,32373
4030404,Josh,Anderson,Coastal Carolina,73,180,5,4,WR,Volo,IL,USA,42.3261332,-88.167861,17097,37852
4037624,Sam,Denmark,Coastal Carolina,72,190,17,4,WR,Hanahan,SC,USA,32.9138914,-80.0088359,45015,35870
4052001,Ryan,Lee,Coastal Carolina,73,210,12,3,LB,Columbia,SC,USA,34.0007493,-81.0343313,45079,38577
4052003,Larry,Collins Jr.,Coastal Carolina,73,200,8,3,WR,Hopkins,SC,USA,33.9043212,-80.8770342,45079,35697
4052004,Silas,Kelly,Coastal Carolina,76,230,29,4,LB,Mount Airy,MD,USA,39.3762145,-77.154704,24013,37971
4052006,Laqavious,Paul,Coastal Carolina,71,215,25,4,LB,Lake City,FL,USA,30.1896756,-82.6392899,12023,38405
4052017,C.J.,Brewer,Coastal Carolina,74,290,52,4,DT,Bowdon,GA,USA,33.5378885,-85.2532818,13045,38463
4052021,Steven,Bedosky,Coastal Carolina,74,280,79,4,OL,Douglasville,GA,USA,33.7514966,-84.7477136,13097,38468
4052022,Trey,Carter,Coastal Carolina,73,295,63,4,OL,Gainesville,FL,USA,29.6519684,-82.3249846,12001,38556
4052031,Tarron,Jackson,Coastal Carolina,74,260,9,4,DE,Aiken,SC,USA,33.5598586,-81.721952,45003,38570
4052033,Jonathan,Clayton,Coastal Carolina,74,280,99,4,DT,Jacksonville,FL,USA,30.3321838,-81.655651,12031,38457
4241083,Michael,Makins,Coastal Carolina,71,215,40,2,LB,Lithonia,GA,USA,33.7123305,-84.1051939,13089,40946
4241088,Jalin,Walker,Coastal Carolina,74,290,50,3,NT,Laurens,SC,USA,34.4989248,-82.0156362,45059,42743
4258176,Sean,Fitzgerald,Coastal Carolina,74,290,62,3,OL,Falls Church,VA,USA,38.882334,-77.1710914,51610,42093
4259723,Alex,Spillum,Coastal Carolina,74,190,10,4,S,Chanhassen,MN,USA,44.8618403,-93.5307207,27019,42890
4259729,Baden,Pinson,Coastal Carolina,70,210,31,3,RB,Cincinnati,OH,USA,39.1014537,-84.5124602,39061,42829
4259731,Brayden,Matts,Coastal Carolina,73,190,26,4,S,Jacksonville,FL,USA,30.3321838,-81.655651,12031,42609
4259733,Myles,Prosser,Coastal Carolina,76,190,37,3,PK,York,SC,USA,34.9940463,-81.2424638,45091,42749
4259738,E.J.,Porter,Coastal Carolina,73,230,44,4,LB,Atlantic Beach,FL,USA,30.3344077,-81.398696,12031,41565
4259739,Chris,Evans,Coastal Carolina,74,220,45,3,LB,Duncan,SC,USA,34.9378962,-82.1451096,45083,42841
4259745,Antwine,Loper,Coastal Carolina,75,285,72,4,OL,Conway,SC,USA,33.8360035,-79.0478143,45051,42545
4259746,Jack,Franklin,Coastal Carolina,76,350,74,4,OL,Buford,GA,USA,34.1206564,-84.0043513,13135,39997
4259747,Seth,Harrell,Coastal Carolina,75,330,77,3,OL,Chesapeake,VA,USA,36.7183708,-76.2466798,51550,40553
4259748,Will,Webster,Coastal Carolina,76,285,78,2,OL,Chapin,SC,USA,34.1659795,-81.3498212,45063,42750
4259749,Jeremiah,Miller,Coastal Carolina,72,190,84,2,WR,Monroe,NC,USA,34.9854275,-80.5495112,37179,42685
4259751,Michael,McFarlane,Coastal Carolina,78,250,87,3,TE,Orlando,FL,USA,28.5421109,-81.3790304,12095,42549
4361028,Tyriq,Goodman,Coastal Carolina,75,210,18,2,S,Newberry,SC,USA,34.2753247,-81.6188633,45071,45763
4361029,Jaivon,Heiligh,Coastal Carolina,74,200,6,4,WR,Venice,FL,USA,27.0999188,-82.4543597,12115,45116
4361030,Damari,Kelly,Coastal Carolina,71,175,8,2,CB,Waynesboro,GA,USA,33.0898731,-82.0156736,13033,46228
4361032,Bryce,Carpenter,Coastal Carolina,73,210,12,4,QB,Sarasota,FL,USA,27.3364347,-82.5306527,12115,45519
4361033,Fred,Payton,Coastal Carolina,74,210,9,3,QB,Suwanee,GA,USA,34.0514898,-84.0712997,13135,45167
4361035,Jordan,Morris,Coastal Carolina,73,160,16,3,CB,Rock Hill,SC,USA,34.9248667,-81.0250784,45091,45764
4361037,Derick,Bush,Coastal Carolina,73,190,1,4,CB,Tucson,AZ,USA,32.2228765,-110.9748477,04019,45762
4361038,Antonio,Robinson,Coastal Carolina,72,190,26,1,RB,Decatur,AL,USA,34.6060203,-86.9838165,01103,45914
4361039,Jai,Williams,Coastal Carolina,72,185,27,1,WR,Jacksonville,FL,USA,30.3321838,-81.655651,12031,46151
4361040,Massimo,Biscardi,Coastal Carolina,71,215,29,4,PK,Downingtown,PA,USA,40.0064958,-75.7032742,42029,46489
4361041,Cincir,Evans,Coastal Carolina,76,215,56,2,LB,Memphis,TN,USA,35.1490215,-90.0516285,47157,44262
4361048,Patrick,McSweeney,Coastal Carolina,76,220,40,3,TE,Staten Island,NY,USA,40.564209,-74.12530461995391,36085,44958
4361049,Jerrod,Clark,Coastal Carolina,76,345,15,3,NT,Dorchester,MA,USA,42.2973205,-71.0744952,25025,44937
4361050,Isaiah,Likely,Coastal Carolina,76,240,4,4,TE,Malden,MA,USA,42.4250964,-71.066163,25017,45446
4361051,Jamar,Darboe,Coastal Carolina,73,220,25,3,LB,Kinston,NC,USA,35.2626635,-77.5816353,37107,45405
4361056,Trevor,Goude,Coastal Carolina,76,285,64,1,OL,Aynor,SC,USA,33.9998881,-79.1994874,45051,46010
4361062,Conner,McCarthy,Coastal Carolina,74,190,88,3,WR,Mount Pleasant,SC,USA,32.7940651,-79.8625851,45019,46011
4361063,Rolan,Wooden II,Coastal Carolina,76,280,90,3,DT,Acworth,GA,USA,34.0659329,-84.6768796,13067,45743
4361066,Eric,Stiemke,Coastal Carolina,76,245,21,2,TE,Bel Air,MD,USA,39.5355063,-76.3490396,24025,45766
4426532,Jayden,Addison,Coastal Carolina,74,255,65,2,OL,Blythewood,SC,USA,34.2187005,-80.98456918011235,45079,50177
4426737,Davon,Bomar,Coastal Carolina,75,250,48,1,DE,Havre De Grace,MD,USA,39.5489964,-76.0914718,24025,50416
4426826,Payton,Bunch,Coastal Carolina,75,195,81,2,LS,Pendleton,SC,USA,43.086997,-78.727859,36063,50644
