ID,First_name,Last_name,Team,Height,Weight,Jersey,Year,Position,Home_city,Home_state,Home_country,Home_latitude,Home_longitude,Home_county_fips,Recruit_ids
501264,Sebastian,Tretola,Arkansas,77,No data,73,No data,OT,S. Bernardino,CA,USA,34.1083449,-117.2897652,06071,54278
515915,Brandon,Allen,Arkansas,74,No data,10,No data,QB,Fayetteville,AR,USA,36.0625843,-94.1574328,05143,19924
515925,Rohan,Gaines,Arkansas,71,No data,26,No data,DB,Bainbridge,GA,USA,30.9038252,-84.5754768,13087,20824
515941,Kody,Walker,Arkansas,74,No data,24,No data,RB,Jefferson City,MO,USA,38.577359,-92.1724265,29051,20174
535877,Keon,Hatcher,Arkansas,74,No data,4,No data,WR,Owasso,OK,USA,36.2661536,-95.8549456,40143,22319
535878,Eric,Hawkins,Arkansas,71,No data,14,No data,WR,Longview,TX,USA,32.5007031,-94.74049,48183,23008
535881,Taiwan,Johnson,Arkansas,74,No data,94,No data,DL,Manvel,TX,USA,29.4664706,-95.355714,48039,22341
535882,Brandon,Lewis,Arkansas,76,No data,99,No data,DL,Memphis,TN,USA,35.1490215,-90.0516285,47157,22958
535889,Jeremy,Sprinkle,Arkansas,78,No data,83,No data,TE,White Hall,AR,USA,34.2739862,-92.0909766,05069,22641
535893,Jonathan,Williams,Arkansas,72,No data,32,No data,RB,Allen,TX,USA,33.1031744,-96.6705503,48085,22216
535895,JaMichael,Winston,Arkansas,77,No data,6,No data,DE,Pritchard,AL,USA,41.1342238,-81.0081481,39133,22729
536039,Jared,Collins,Arkansas,71,No data,29,No data,DB,Tulsa,OK,USA,36.1556805,-95.9929113,40143,22986
547203,Alex,Collins,Arkansas,71,No data,3,No data,RB,Fort Lauderdale,FL,USA,26.1223084,-80.1433786,12011,24997
547205,Damon,Mitchell,Arkansas,74,213,5,No data,WR,Egg Harbor City,NJ,USA,39.5287282,-74.6479364,34001,25661
547206,Austin,Allen,Arkansas,73,215,8,No data,QB,Fayetteville,AR,USA,36.0625843,-94.1574328,05143,25280
547209,De'Andre,Coley,Arkansas,73,211,20,No data,DB,Miami,FL,USA,25.7742658,-80.1936589,12086,26714
547217,Denzell,Evans,Arkansas,71,215,23,No data,RB,Houston,TX,USA,29.7589382,-95.3676974,48201,26133
547224,Brooks,Ellis,Arkansas,74,No data,51,No data,LB,Fayetteville,AR,USA,36.0625843,-94.1574328,05143,25444
547231,Tevin,Beanum,Arkansas,76,No data,97,No data,DL,Forrest City,AR,USA,35.0081474,-90.7898342,05123,26320
547232,Drew,Morgan,Arkansas,72,No data,80,No data,WR,Greenwood,AR,USA,35.2156489,-94.2557663,05131,26987
547233,Hunter,Henry,Arkansas,77,No data,84,No data,TE,Little Rock,AR,USA,34.7464809,-92.2895948,05119,25037
550434,Karl,Roesler,Arkansas,73,252,96,No data,LB,Louisville,KY,USA,38.2542376,-85.759407,21111,66667
559629,Jared,Cornelius,Arkansas,71,203,1,4,WR,Shreveport,LA,USA,32.5221828,-93.7651944,22017,29126
559632,Cody,Hollister,Arkansas,76,No data,81,No data,WR,Bend,OR,USA,44.0581728,-121.3153096,41017,54426
3128675,Randy,Ramsey,Arkansas,76,236,10,4,LB,Ft. Lauderdale,FL,USA,26.1223084,-80.1433786,12011,29682
3128676,Khalia,Hackett,Arkansas,74,No data,27,No data,LB,Douglasville,GA,USA,33.7514966,-84.7477136,13097,29297
3128679,Jake,Hall,Arkansas,77,253,95,4,DT,Springdale,AR,USA,36.1867442,-94.1288142,05143,29266
3128685,Armon,Watts,Arkansas,77,298,90,4,DL,St. Louis,MO,USA,38.6268039,-90.1994097,29510,28944
3128687,Henre',Toliver,Arkansas,73,185,5,No data,DB,Marrero,LA,USA,29.8993723,-90.1003506,22051,28688
3128688,Santos,Ramirez,Arkansas,74,204,9,4,DB,Shreveport,LA,USA,32.5221828,-93.7651944,22017,29036
3128689,Frank,Ragnow,Arkansas,77,317,72,No data,OL,Victoria,MN,USA,44.8585738,-93.6616266,27019,28522
3128692,Cole,Hedlund,Arkansas,70,166,30,4,PK,Argyle,TX,USA,33.110156,-97.17940980147037,48121,29303
3128694,Juan,Day,Arkansas,73,No data,39,No data,RB,North Little Rock,AR,USA,34.769536,-92.2670941,05119,28955
3128695,Kendrick,Edwards,Arkansas,77,216,5,4,WR,Miami,FL,USA,25.7742658,-80.1936589,12086,29085
3128696,Josh,Liddell,Arkansas,73,211,28,No data,DB,Pine Bluff,AR,USA,34.2157064,-92.0140402,05069,29324
3128698,Bijhon,Jackson,Arkansas,73,339,78,No data,DL,El Dorado,AR,USA,33.20763,-92.6662674,05139,28289
3128699,Brian,Wallace,Arkansas,78,320,60,4,OL,Florissant,MO,USA,38.7919683,-90.3227803,29189,28298
3886619,Daytrieon,Dean,Arkansas,No data,No data,No data,No data,No data,Fort Smith,AR,USA,35.3872218,-94.4248983,05131,32625
3886620,Will,Gragg,Arkansas,76,245,10,4,TE,Dumas,AR,USA,33.8870477,-91.4917899,05041,32063
3886621,Ty,Storey,Arkansas,74,225,4,4,QB,Charleston,AR,USA,38.3505995,-81.6332812,54039,32081
3886633,Hjalte,Froholdt,Arkansas,77,315,51,4,OL,Svendborg,,Denmark,No data,No data,No data,32002
3892689,Jeremiah,Ledbetter,Arkansas,75,No data,55,No data,DL,Orlando,FL,USA,28.5421109,-81.3790304,12095,54726
3916899,Austin,Cantrell,Arkansas,75,263,44,3,TE,Roland,OK,USA,35.4212021,-94.5146616,40135,32420
3916900,Nate,Dalton,Arkansas,75,195,13,3,DB,Baton Rouge,LA,USA,30.4459596,-91.18738,22033,32474
3916903,Dre,Greenlaw,Arkansas,72,227,23,4,LB,Fayetteville,AR,USA,36.0625843,-94.1574328,05143,32685
3916904,Klint,Harvey,Arkansas,78,326,71,4,OL,Corning,AR,USA,36.4078388,-90.5798336,05021,33624
3916906,Kendrick,Jackson,Arkansas,72,259,34,4,FB,Haynesville,LA,USA,32.9620847,-93.1401647,22027,33009
3916907,Blake,Johnson,Arkansas,73,182,18,3,P,Long Beach,CA,USA,33.7690164,-118.1916048,06037,33610
3916908,Byron,Keaton,Arkansas,70,183,39,No data,DB,Camden,AR,USA,33.5845582,-92.8343294,05103,33747
3916911,La'Michael,Pettway,Arkansas,74,223,7,4,WR,Nashville,AR,USA,33.9456692,-93.847129,05061,32467
3916911,La'Michael,Pettway,Arkansas,74,223,7,4,WR,Nashville,AR,USA,33.9456692,-93.847129,05061,66943
3916913,Ryan,Pulley,Arkansas,71,198,11,4,DB,Fort Myers,FL,USA,26.640628,-81.8723084,12071,33186
3916914,Dominique,Reed,Arkansas,75,No data,3,No data,WR,Camden,AR,USA,33.5845582,-92.8343294,05103,54763
3916919,Deon,Stewart,Arkansas,71,161,13,4,WR,Hardy,AR,USA,36.3158994,-91.4826388,05135,32627
3916920,Willie,Sykes,Arkansas,72,180,19,No data,DB,Houston,TX,USA,29.7589382,-95.3676974,48201,33020
3916921,Rawleigh,Williams III,Arkansas,70,No data,22,No data,RB,Dallas,TX,USA,32.7762719,-96.7968559,48113,32403
4035569,Austin,Capps,Arkansas,76,304,54,4,OL,Star City,AR,USA,33.9428794,-91.8434668,05079,35406
4242169,Jonathan,Nance,Arkansas,72,190,4,4,WR,Gulfport,MS,USA,30.3674198,-89.0928155,28047,34294
