ID,First_name,Last_name,Team,Height,Weight,Jersey,Year,Position,Home_city,Home_state,Home_country,Home_latitude,Home_longitude,Home_county_fips,Recruit_ids
4034313,Deshawn,Stevens,West Virginia,74,230,56,No data,LB,Toronto,ON,CAN,No data,No data,No data,38591
4039256,Sean,Mahone,West Virginia,71,203,29,4,S,Liberty Township,OH,USA,39.3845473,-84.3938418,39017,36128
4039930,Tyler,Sumpter,West Virginia,70,220,35,4,PK,Hoover,AL,USA,33.3848933,-86.8070484,01073,38307
4239389,Taijh,Alston,West Virginia,76,250,12,3,DL,Vass,NC,USA,35.2562684,-79.2822491,37125,40098
4241454,VanDarius,Cowan,West Virginia,76,240,8,3,LB,Palm Beach Gardens,FL,USA,26.8418256,-80.13590694666684,12099,38708
4241879,Exree,Loe,West Virginia,72,212,6,3,LB,Johnstown,PA,USA,40.3267407,-78.9219698,42021,39715
4244029,Jarret,Doege,West Virginia,74,208,2,3,QB,Lubbock,TX,USA,33.5635206,-101.879336,48303,40175
4245704,Scottie,Young Jr.,West Virginia,71,204,19,4,S,San Diego,CA,USA,32.7174209,-117.1627714,06073,67843
4360972,Sean,Ryan,West Virginia,75,194,10,3,WR,Brooklyn,NY,USA,40.6501038,-73.9495823,36047,43914
4362196,Leddie,Brown,West Virginia,71,210,4,3,RB,Philadelphia,PA,USA,39.9527237,-75.1635262,42101,43460
4362198,Josh,Chandler,West Virginia,71,220,7,3,LB,Canton,OH,USA,40.7989522,-81.3784445,39151,44378
4362201,James,Gmiter,West Virginia,75,300,74,2,OL,Bethel Park,PA,USA,40.3275697,-80.0394977,42003,43967
4362208,Sam,James,West Virginia,72,184,13,2,WR,Richmond Hill,GA,USA,31.9382652,-81.3034433,13029,43754
4362217,Mike,O'Laughlin,West Virginia,77,255,87,2,TE,Glen Ellyn,IL,USA,41.8775293,-88.0670118,17043,43566
4362225,Dante,Stills,West Virginia,76,280,55,3,DL,Fairmont,WV,USA,39.4850848,-80.1425781,54049,43031
4362227,Bryce,Wheaton,West Virginia,75,218,No data,2,WR,Fuquay-Varina,NC,USA,35.5843849,-78.7998691,37183,43661
4379472,Tavis,Lee,West Virginia,74,255,88,2,DL,Martinsburg,WV,USA,39.4562528,-77.9639604,54003,44329
4426368,Doug,Nester,West Virginia,79,321,72,3,OL,Huntington,WV,USA,38.4192496,-82.445154,54011,46902
4426646,Jared,Bartlett,West Virginia,74,232,50,1,LB,Suwanee,GA,USA,34.0514898,-84.0712997,13135,48473
4426664,Leighton,Bechdel,West Virginia,71,203,98,2,PK,Towson,MD,USA,39.4018552,-76.602388,24005,50220
4427079,Lance,Dixon,West Virginia,74,221,5,1,LB,West Bloomfield,MI,USA,42.5679,-83.3733,36069,46975
4427216,Nicktroy,Fortune,West Virginia,72,191,11,2,CB,Roswell,GA,USA,34.02332,-84.360022,13121,47746
4427870,Nick,Malone,West Virginia,78,292,58,1,OL,Morgantown,WV,USA,39.6296809,-79.9559437,54061,48127
4427893,Kerry,Martin Jr.,West Virginia,73,185,15,2,S,Charleston,WV,USA,38.3505995,-81.6332812,54039,47810
4427916,Tony,Mathis,West Virginia,71,205,24,1,RB,Orlando,FL,USA,28.5421109,-81.3790304,12095,47734
4428048,Parker,Moorer,West Virginia,76,306,52,1,OL,Charlotte,NC,USA,35.2272,-80.843083,37119,47505
4428523,Donavan,Beaver,West Virginia,78,308,65,1,OL,Fredericksburg,VA,USA,38.3031837,-77.4605399,51630,47690
4428672,Jalen,Thornton,West Virginia,74,265,52,1,DL,Cincinnati,OH,USA,39.1014537,-84.5124602,39061,47702
4429190,No data,No data,West Virginia,74,268,90,1,DL,No data,No data,No data,No data,No data,No data,62213
4429452,Tyler,Connolly,West Virginia,77,335,61,1,OL,Marysville,OH,USA,40.2364486,-83.3671432,39159,50420
4429775,Zach,Frazier,West Virginia,74,308,54,1,OL,Fairmont,WV,USA,39.4850848,-80.1425781,54049,62151
4429847,Garrett,Greene,West Virginia,71,192,6,1,QB,Tallahassee,FL,USA,30.4380832,-84.2809332,12073,62142
4430131,Kolton,McGhee,West Virginia,72,190,40,1,PK,Altoona,PA,USA,40.518681,-78.394736,42013,48495
4430359,Sean,Martin,West Virginia,76,281,91,1,DL,Bluefield,WV,USA,37.2698395,-81.2223195,54055,62085
4430747,Reese,Smith,West Virginia,70,186,15,1,WR,Danville,KY,USA,37.6456488,-84.7721823,21021,62446
4431004,No data,No data,West Virginia,74,240,44,1,DL,No data,No data,No data,No data,No data,No data,62292
4431086,Jairo,Faverus,West Virginia,72,192,24,1,LB,Amsterdam,No data,Netherlands,No data,No data,No data,62603
4431086,Jairo,Faverus,West Virginia,72,192,24,1,LB,Amsterdam,No data,Netherlands,No data,No data,No data,74996
4431250,Chris,Mayo,West Virginia,77,320,73,1,OL,Deptford,NJ,USA,39.8271755,-75.1235892,34015,62018
4431385,No data,No data,West Virginia,73,232,45,1,DL,No data,No data,No data,No data,No data,No data,62350
4431463,Wyatt,Milum,West Virginia,78,291,64,1,OL,Kenova,WV,USA,No data,No data,No data,71565
4431509,Kaden,Prather,West Virginia,76,210,3,1,WR,Montgomery Village,MD,USA,39.1729034,-77.2030297,24031,71694
4431633,Will,Crowder,West Virginia,74,208,7,1,QB,Gardendale,AL,USA,33.6601033,-86.8127702,01073,72083
4431917,Charles,Finley,West Virginia,76,206,80,1,TE,No data,No data,No data,No data,No data,No data,62859
4432623,Devell,Washington,West Virginia,76,210,18,1,WR,Saginaw,MI,USA,43.4200387,-83.9490365,26145,62157
4566654,Victor,Wikstrom,West Virginia,75,250,82,1,TE,Uppsala,No data,Sweden,No data,No data,No data,72333
4569448,Jordan,Jefferson,West Virginia,74,312,95,2,DL,Navarre,FL,USA,30.4019789,-86.8700821,12113,48523
4569451,Naim,Muhammad,West Virginia,70,204,30,1,CB,Bowie,MD,USA,38.9429659,-76.731234,24033,45897
4569452,Winston,Wright,West Virginia,70,180,1,2,WR,Pooler,GA,USA,32.1158983,-81.2495131,13051,47639
4569663,Justin,Johnson,West Virginia,70,196,26,1,RB,Saint Louis,MO,USA,38.6264178,-90.1998378,29510,71904
4570582,Darel,Middleton,West Virginia,79,305,97,4,DL,Knoxville,TN,USA,35.9603948,-83.9210261,47093,35748
4575810,Brandon,Yates,West Virginia,76,306,50,1,OL,Middletown,DE,USA,39.4496857,-75.7166811,10003,47783
4587977,Sam,Brown,West Virginia,74,197,17,1,WR,No data,No data,No data,No data,No data,No data,62020
4587977,Sam,Brown,West Virginia,74,197,17,1,WR,No data,No data,No data,No data,No data,No data,74946
