ID,First_name,Last_name,Team,Height,Weight,Jersey,Year,Position,Home_city,Home_state,Home_country,Home_latitude,Home_longitude,Home_county_fips,Recruit_ids
3121408,Dante,Booker,Ohio State,75,235,33,4,LB,Akron ,OH,USA,41.083064,-81.518485,39153,28262
3121410,Parris,Campbell,Ohio State,73,208,21,4,WR,Akron ,OH,USA,41.083064,-81.518485,39153,28347
3121413,Johnnie,Dixon,Ohio State,71,198,1,4,WR,West Palm Beach,FL,USA,26.715364,-80.0532942,12099,28284
3121422,Terry,McLaurin,Ohio State,73,205,83,4,WR,Indianapolis ,IN,USA,39.7683331,-86.1583502,18097,28450
3121425,Sean,Nuernberger,Ohio State,73,228,96,4,PK,Buckner,KY,USA,38.3928715,-85.44010498754153,21185,29405
3873928,Jashon,Cornell,Ohio State,75,285,9,4,DT,Saint Paul,MN,USA,44.9504037,-93.1015026,27123,31950
3915504,Joshua,Alabi,Ohio State,77,305,58,4,OL,Detroit,MI,USA,42.3315509,-83.0466403,26163,32410
3915506,Damon,Arnette,Ohio State,72,195,3,4,CB,Fort Lauderdale,FL,USA,26.1223084,-80.1433786,12011,32508
3915508,Rashod,Berry,Ohio State,76,255,13,4,TE,Lorain,OH,USA,41.4673238,-82.1781904,39093,32583
3915509,Branden,Bowen,Ohio State,79,315,76,4,OL,Draper,UT,USA,40.5246711,-111.8638226,49035,32397
3915522,K.J.,Hill,Ohio State,72,195,14,4,WR,Little Rock,AR,USA,34.7464809,-92.2895948,05119,32011
3915523,Justin,Hilliard,Ohio State,73,231,47,4,LB,Cincinnati,OH,USA,39.1014537,-84.5124602,39061,31893
3915525,Dre'Mont,Jones,Ohio State,75,286,86,3,DT,Cleveland,OH,USA,41.5051613,-81.6934446,39035,31995
3915526,Robert,Landers,Ohio State,73,285,67,4,DL,Dayton,OH,USA,39.7589478,-84.1916069,39113,32336
3915528,Liam,McCullough,Ohio State,74,237,49,4,LS,Columbus,OH,USA,39.9622601,-83.0007065,39049,34221
3915532,Isaiah,Prince,Ohio State,79,310,59,4,OL,Greenbelt,MD,USA,39.0099993,-76.9125366,24033,31964
3915536,Mike,Weber,Ohio State,70,214,25,3,RB,Detroit,MI,USA,42.3315509,-83.0466403,26163,31937
3925358,Kendall,Sheffield,Ohio State,72,193,8,3,CB,Missouri City,TX,USA,29.6185669,-95.5377215,48157,31879
4036514,Bradley,Robinson,Ohio State,73,230,42,4,LS,Troy,MI,USA,42.6055893,-83.1499304,26125,38572
4040604,Tuf,Borland,Ohio State,73,234,32,4,LB,Bolingbrook,IL,USA,41.7003302,-88.0717708,17197,35493
4040605,Nick,Bosa,Ohio State,76,263,97,3,DE,Fort Lauderdale,FL,USA,26.1223084,-80.1433786,12011,35191
4040607,Drue,Chrisman,Ohio State,75,222,91,4,P,Lawrenceburg,IN,USA,39.090891,-84.8499504,18029,35945
4040608,Jonathon,Cooper,Ohio State,76,257,No data,4,DE,Gahanna,OH,USA,40.0195625,-82.8791363,39049,35215
4040610,Gavin,Cupp,Ohio State,76,308,61,4,OL,Leipsic,OH,USA,41.0983847,-83.9846655,39137,35584
4040612,Luke,Farrell,Ohio State,78,258,89,4,TE,Perry,OH,USA,41.760326,-81.140932,39085,35374
4040613,Jordan,Fuller,Ohio State,74,205,4,4,S,Old Tappan,NJ,USA,41.0106971,-73.9911073,34003,35314
4040615,Malik,Harrison,Ohio State,75,240,39,4,LB,Columbus,OH,USA,39.9622601,-83.0007065,39049,35862
4040616,Dwayne,Haskins,Ohio State,75,220,7,2,QB,Potomac,MD,USA,39.017936,-77.2094542,24031,35271
4040617,Jake,Hausmann,Ohio State,76,255,81,4,TE,Cincinnati,OH,USA,39.1014537,-84.5124602,39061,35304
4040621,Keandre,Jones,Ohio State,75,220,4,4,LB,Olney,MD,USA,39.1532123,-77.0668408,24031,35274
4040623,Austin,Mack,Ohio State,74,215,11,4,WR,Fort Wayne,IN,USA,41.0799898,-85.1386015,18003,35259
4040625,Demario,McCall,Ohio State,69,195,3,4,WR,North Ridgeville,OH,USA,41.3894905,-82.0190321,39093,35226
4040628,Binjimen,Victor,Ohio State,76,199,9,4,WR,Pompano Beach,FL,USA,26.2378597,-80.1247667,12011,35283
4040630,Jahsen,Wint,Ohio State,70,200,23,3,S,Brooklyn,NY,USA,40.6501038,-73.9495823,36047,36049
