ID,First_name,Last_name,Team,Height,Weight,Jersey,Year,Position,Home_city,Home_state,Home_country,Home_latitude,Home_longitude,Home_county_fips,Recruit_ids
3886808,Trey,Adams,Washington,80,314,72,4,OL,Wenatchee,WA,USA,47.4234599,-120.3103494,53007,32174
3886809,Andre,Baccellia,Washington,70,175,5,4,WR,Thousand Oaks,CA,USA,34.17142715,-118.91058772974445,06111,32723
3886819,Jared,Hilbers,Washington,79,316,70,4,OL,Beaverton,OR,USA,45.4871723,-122.8037804,41067,32904
3886821,Kyler,Manu,Washington,73,246,30,4,LB,Pocatello,ID,USA,42.8688613,-112.4401098,16005,33045
3886822,Chico,McClatcher,Washington,68,183,6,4,WR,Federal Way,WA,USA,47.313494,-122.3393103,53033,32297
3886826,Benning,Potoa'e,Washington,75,290,8,4,DL,Dupont,WA,USA,41.3250801,-75.7454701,42079,32079
3886827,Quinten,Pounds,Washington,72,176,21,4,WR,Cypress,CA,USA,33.8248235,-118.0399368,06059,33139
3886829,Myles,Rice,Washington,75,250,41,3,LB,Houston,TX,USA,29.7589382,-95.3676974,48201,33722
3886830,Henry,Roberts,Washington,78,295,59,4,OL,Bellevue,WA,USA,47.6144219,-122.1923372,53033,32106
4035003,Jacob,Eason,Washington,78,227,10,3,QB,Lake Stevens,WA,USA,48.0197794,-122.0660914,53061,35188
4039000,Aaron,Fuller,Washington,71,188,2,4,WR,Mckinney,TX,USA,33.1976496,-96.6154471,48085,36478
4039002,Brandon,Wellington,Washington,72,226,13,4,LB,Kent,WA,USA,47.3826903,-122.2270272,53033,35407
4039006,Isaiah,Gilchrist,Washington,71,212,18,4,DB,Bellevue,WA,USA,47.6144219,-122.1923372,53033,35432
4039008,Kamari,Pleasant,Washington,72,230,24,4,RB,Rialto,CA,USA,34.1064001,-117.3703235,06071,36247
4039009,Sean,McGrew,Washington,67,175,5,4,RB,Torrance,CA,USA,33.8358492,-118.3406288,06037,35410
4039010,Myles,Bryant,Washington,69,185,5,4,DB,Pasadena,CA,USA,34.1476452,-118.1444779,06037,36436
4039013,Van,Soderberg,Washington,72,200,42,3,PK,Olympia,WA,USA,47.0451022,-122.8950075,53067,36978
4039015,Ryan,Bowman,Washington,72,280,55,4,LB,Bellevue,WA,USA,47.6144219,-122.1923372,53033,36411
4039016,Nick,Harris,Washington,73,302,56,4,OL,Inglewood,CA,USA,33.9562003,-118.353132,06037,36450
4039018,Luke,Wattenberg,Washington,77,300,76,4,OL,Trabuco Canyon,CA,USA,33.6626232,-117.58938,06059,35466
4039019,Jordan,Chin,Washington,72,170,82,4,WR,San Fernando,CA,USA,34.28497,-118.437652,06037,36280
4039020,Levi,Onwuzurike,Washington,75,288,9,4,DL,Allen,TX,USA,33.1031744,-96.6705503,48085,35472
4243315,Salvon,Ahmed,Washington,71,196,26,3,RB,Kirkland,WA,USA,47.6859573,-122.1920249,53033,38735
4243316,Henry,Bainivalu,Washington,78,335,66,3,OL,Sammamish,WA,USA,47.6088445,-122.0423067,53033,38821
4243318,Hunter,Bryant,Washington,74,239,1,3,TE,Issaquah,WA,USA,47.5348778,-122.0432974,53033,38789
4243319,Terrell,Bynum,Washington,73,190,1,3,WR,Long Beach,CA,USA,33.7690164,-118.1916048,06037,38864
4243320,Alex,Cook,Washington,73,200,5,3,DB,Sacramento,CA,USA,38.5815719,-121.4943996,06067,39029
4243323,Ty,Jones,Washington,76,200,8,3,WR,Provo,UT,USA,40.2338438,-111.6585337,49049,38861
4243324,Jaxson,Kirkland,Washington,79,295,51,3,OL,Portland,OR,USA,45.5202471,-122.6741949,41051,39195
4243325,Jacob,Kizer,Washington,77,258,86,4,TE,Salem,OR,USA,44.9391565,-123.033121,41047,36047
4243327,Brandon,McKinney,Washington,72,200,28,4,S,Orange,CA,USA,33.7872568,-117.8503088,06059,38885
4243328,Elijah,Molden,Washington,70,190,3,4,DB,West Linn,OR,USA,45.3656761,-122.6123141,41005,38812
4243329,Ariel,Ngata,Washington,75,213,52,2,LB,Reno,NV,USA,39.5261206,-119.8126581,32031,38949
4243330,Cole,Norgaard,Washington,77,285,63,3,OL,Clements,CA,USA,38.1907514,-121.0882767,06077,40034
4243331,Cade,Otton,Washington,77,240,87,3,TE,Tumwater,WA,USA,47.0080655,-122.9103689,53067,39214
4243332,Keith,Taylor,Washington,75,195,8,4,DB,Long Beach,CA,USA,33.7690164,-118.1916048,06037,38872
4243333,Joe,Tryon,Washington,77,262,7,3,LB,Renton,WA,USA,47.4799078,-122.2034496,53033,39398
4361089,Marquis,Spiker,Washington,75,200,8,2,WR,Wildomar,CA,USA,33.5939372,-117.2414989,06065,42966
4361091,Jacob,Sirmon,Washington,77,240,3,2,QB,Bothell,WA,USA,47.7598697,-122.2068288,53033,43001
4361092,Austin,Osborne,Washington,74,200,18,2,WR,Rancho Santa Margarita,CA,USA,33.6408845,-117.6029341,06059,43119
4361093,Kyler,Gordon,Washington,72,195,2,2,DB,Mukilteo,WA,USA,47.9474034,-122.3036992,53061,43094
4361094,Dominique,Hampton,Washington,74,220,21,2,DB,Glendale,AZ,USA,33.5386858,-112.1859941,04013,43762
4361095,Richard,Newton,Washington,72,210,6,2,RB,Lancaster,CA,USA,34.6981064,-118.1366153,06037,43432
4361096,Julius,Irvin,Washington,73,185,29,2,DB,Anaheim,CA,USA,33.8347516,-117.911732,06059,43063
4361098,Ben,Hines,Washington,70,225,35,2,LB,Snohomish,WA,USA,47.9180275,-122.0899646,53061,46699
4361101,Jackson,Sirmon,Washington,75,230,43,2,LB,Brentwood,TN,USA,36.0325687,-86.7825235,47187,43322
4361104,MJ,Tafisi,Washington,72,230,53,2,LB,West Jordan,UT,USA,40.6096698,-111.9391031,49035,43410
4361105,Zion,Tupuola-Fetui,Washington,75,280,58,2,LB,Pearl City,HI,USA,21.400593999999998,-157.97040639396414,15003,43718
4361106,Draco,Bynum,Washington,76,270,59,2,DL,Wilsonville,OR,USA,45.3099218,-122.7681602,41005,43280
4361107,M.J.,Ale,Washington,78,355,68,2,OL,Tacoma,WA,USA,47.2495798,-122.4398746,53053,43727
4361108,Will,Pliska,Washington,77,290,69,2,OL,Kirkland,WA,USA,47.6859573,-122.1920249,53033,46601
4361109,Matteo,Mele,Washington,77,300,78,2,OL,Tucson,AZ,USA,32.2228765,-110.9748477,04019,43305
4361110,Victor,Curne,Washington,75,330,79,2,OL,Houston,TX,USA,29.7589382,-95.3676974,48201,43556
4361111,Trey,Lowe,Washington,69,185,21,2,RB,Portland,OR,USA,45.5202471,-122.6741949,41051,43155
4361112,Devin,Culp,Washington,75,245,83,2,TE,Spokane,WA,USA,47.6579425,-117.4212265,53063,43383
4361113,Tuli,Letuligasenoa,Washington,74,305,91,2,DL,Concord,CA,USA,37.9768525,-122.0335624,06013,43012
4361114,Sam,Taimani,Washington,74,335,94,2,DL,Salt Lake City,UT,USA,40.7596198,-111.8867975,49035,43115
4374280,Edefuan,Ulofoshio,Washington,72,230,48,2,LB,Anchorage,AK,USA,61.2163129,-149.8948523,02020,46186
4426352,Jacob,Bandes,Washington,74,315,96,1,DL,Pittsburg,CA,USA,38.0181745,-121.8901232,06013,46882
4426380,Faatui,Tuitele,Washington,75,305,99,1,DL,Honolulu,HI,USA,21.304547,-157.8556764,15003,46879
4426405,Trent,McDuffie,Washington,71,195,22,2,DB,Westminster,CA,USA,33.7578725,-117.9859054,06059,46922
4426473,Laiatu,Latu,Washington,76,265,13,2,LB,Sacramento,CA,USA,38.5815719,-121.4943996,06067,46924
4426515,Puka,Nacua,Washington,73,210,12,2,WR,Provo,UT,USA,40.2338438,-111.6585337,49049,46932
4426516,Sama,Paama,Washington,76,348,50,1,DL,Waipahu,HI,USA,21.3866667,-158.0091667,15003,47149
4426539,Miki,Ah You,Washington,73,210,10,1,LB,Laie,HI,USA,21.647244399999998,-157.93069756074482,15003,47477
4426821,Julius,Buelow,Washington,80,325,77,1,OL,Kapolei,HI,USA,21.3340079,-158.0778491,15003,47129
4427160,Kamren,Fabiculanan,Washington,73,185,31,1,DB,Camarillo,CA,USA,34.2164099,-119.0376573,06111,47174
4427170,Troy,Fautanu,Washington,76,315,55,1,OL,Henderson,NV,USA,36.0301134,-114.9826194,32003,47170
4427219,Drew,Fowler,Washington,72,225,54,1,LB,Bellevue,WA,USA,47.6144219,-122.1923372,53033,48145
4427435,Daniel,Heimuli,Washington,72,215,15,1,LB,East Palo Alto,CA,USA,37.4688273,-122.1410751,06081,46995
4427676,Nate,Kalepo,Washington,78,330,71,1,OL,Renton,WA,USA,47.4799078,-122.2034496,53033,67961
4428118,Noa,Ngalu,Washington,73,290,92,1,DL,East Palo Alto,CA,USA,37.4688273,-122.1410751,06081,47436
4428713,Bralen,Trice,Washington,75,240,8,1,LB,Phoenix,AZ,USA,33.4484367,-112.0741417,04013,47254
4428726,Alphonzo,Tuputala,Washington,74,225,40,1,LB,Federal Way,WA,USA,47.313494,-122.3393103,53033,47870
4429503,Taj,Davis,Washington,73,200,17,1,WR,Chino,CA,USA,34.0133561,-117.690075,06071,47319
4429860,Tim,Horn,Washington,74,205,37,2,PK,Honolulu,HI,USA,21.304547,-157.8556764,15003,68001
4430616,Asa,Turner,Washington,75,200,20,2,DB,Carlsbad,CA,USA,33.1580933,-117.3505966,06073,47096
4439846,Josh,Calvert,Washington,74,235,14,1,LB,Wheatland,WY,USA,42.054424,-104.952726,56031,67958
4569594,Cameron,Davis,Washington,72,205,22,1,RB,Bryant,AR,USA,34.5959265,-92.4890469,05125,33288
4569594,Cameron,Davis,Washington,72,205,22,1,RB,Bryant,AR,USA,34.5959265,-92.4890469,05125,47093
4569595,Hunter,Hansen,Washington,76,231,93,1,LB,Bellevue,WA,USA,47.6144219,-122.1923372,53033,50166
4569597,Corey,Luciano,Washington,76,295,74,3,OL,Danville,CA,USA,37.8215929,-121.9999606,06013,40172
4569598,Dylan,Morris,Washington,72,200,9,1,QB,Puyallup,WA,USA,47.1849009,-122.2921406,53053,46967
4569600,Mishael,Powell,Washington,73,205,23,1,DB,Seattle,WA,USA,47.6038321,-122.3300624,53033,49075
4569602,Cameron,Williams,Washington,72,190,6,2,DB,Bakersfield,CA,USA,35.3738712,-119.0194639,06029,47200
4575239,Ruperake,Fuavai,Washington,72,215,56,1,LB,Auburn,WA,USA,47.3075369,-122.2301808,53033,48500
