ID,First_name,Last_name,Team,Height,Weight,Jersey,Year,Position,Home_city,Home_state,Home_country,Home_latitude,Home_longitude,Home_county_fips,Recruit_ids
504307,Matt,Darr,Tennessee,73,No data,43,No data,P,Bakersfield,CA,USA,35.3738712,-119.0194639,06029,18350
512424,Justin,Worley,Tennessee,76,No data,14,No data,QB,Rock Hill,SC,USA,34.9248667,-81.0250784,45091,20160
512426,Devrin,Young,Tennessee,68,No data,19,No data,?,Knoxville,TN,USA,35.9603948,-83.9210261,47093,20349
512430,Justin,Coleman,Tennessee,70,No data,27,No data,DB,Brunswick,GA,USA,31.1499528,-81.4914894,13127,19899
512432,Brian,Randolph,Tennessee,72,No data,37,No data,DB,Marietta,GA,USA,33.9528472,-84.5496148,13067,20133
512435,A.J.,Johnson,Tennessee,74,No data,45,No data,LB,Gainesville,GA,USA,34.2978794,-83.8240663,13139,19696
512453,Brendan,Downs,Tennessee,77,No data,85,No data,TE,Bristol,TN,USA,36.5945034,-82.1885212,47163,20096
517323,Justus,Pickett,Tennessee,70,No data,44,No data,RB,Charlotte,NC,USA,35.2272,-80.843083,37119,20062
518550,Geraldo,Orta,Tennessee,72,No data,26,No data,DB,Valdosta,GA,USA,30.8327022,-83.2784851,13185,20267
532061,LaTroy,Lewis,Tennessee,76,No data,4,No data,DL,Akron,OH,USA,41.083064,-81.518485,39153,22473
532065,Nathan,Peterman,Tennessee,74,No data,4,No data,QB,Fruit Cove,FL,USA,30.0928745,-81.60699194552737,12109,22398
532069,Jason,Croom,Tennessee,77,No data,18,No data,TE,Norcross,GA,USA,33.9412127,-84.2135309,13135,22272
532074,LaDarrell,McNeil,Tennessee,73,No data,33,No data,DB,Dallas,TX,USA,32.7762719,-96.7968559,48113,22127
532075,Cody,Blanc,Tennessee,74,No data,83,No data,WR,Knoxville,TN,USA,35.9603948,-83.9210261,47093,23176
532076,Justin,King,Tennessee,74,No data,38,No data,LB,Dunwoody,GA,USA,33.9462467,-84.3342749,13089,22912
532078,Kenny,Bynum,Tennessee,73,No data,51,No data,LB,Jacksonville,FL,USA,30.3321838,-81.655651,12031,23005
532093,Danny,O'Brien,Tennessee,74,No data,95,No data,DL,Flint,MI,USA,43.0161693,-83.6900211,26049,22245
