ID,First_name,Last_name,Team,Height,Weight,Jersey,Year,Position,Home_city,Home_state,Home_country,Home_latitude,Home_longitude,Home_county_fips,Recruit_ids
3123735,Ross,Alexander,Georgia Southern,74,235,46,No data,?,Columbia,MO,USA,38.951883,-92.3337366,29019,30480
3123740,Zack,Copeland,Georgia Southern,73,285,57,4,DT,Valdosta,GA,USA,30.8327022,-83.2784851,13185,30670
3123743,Chris,DeLaRosa,Georgia Southern,73,225,34,No data,LB,Longwood,FL,USA,28.7007225,-81.34927797143865,12117,30711
3123754,Ryan,Northrup,Georgia Southern,74,285,62,4,OL,Norcross,GA,USA,33.9412127,-84.2135309,13135,31027
3123759,Darrius,Sapp,Georgia Southern,73,320,90,No data,DT,Valdosta,GA,USA,30.8327022,-83.2784851,13185,29664
3128335,Ian,Bush,Georgia Southern,72,275,95,4,NT,Port Charlotte,FL,USA,26.9761707,-82.0906448,12015,30333
3917196,Obe,Fortune,Georgia Southern,73,190,9,3,WR,Alpharetta,GA,USA,34.0709576,-84.2747329,13121,33789
3917200,Malik,Henry,Georgia Southern,72,175,87,No data,WR,Tifton,GA,USA,31.4522765,-83.5096866,13277,34261
3917201,D'Ondre,Glenn,Georgia Southern,77,220,19,No data,WR,Douglasville,GA,USA,33.7514966,-84.7477136,13097,33412
3917202,Wesley,Fields,Georgia Southern,72,205,21,4,RB,Americus,GA,USA,32.0723862,-84.2326876,13261,33858
3917203,Joshua,Moon,Georgia Southern,72,200,22,4,S,Fairburn,GA,USA,33.5670562,-84.5810418,13121,33088
3917204,Jay,Bowdry,Georgia Southern,72,205,5,4,LB,Thomasville,GA,USA,30.8365815,-83.9787808,13275,33704
3917210,Jessie,Liptrot,Georgia Southern,72,195,15,4,CB,Atlantic Beach,FL,USA,30.3344077,-81.398696,12031,33151
3917212,Lane,Ecton,Georgia Southern,71,210,7,4,LB,Irmo,SC,USA,34.08846885,-81.18021121302588,45063,34766
3917224,Curtis,Rainey,Georgia Southern,74,290,75,4,OL,Jacksonville,FL,USA,30.3321838,-81.655651,12031,34257
3917226,Kevin,Ackerman,Georgia Southern,77,245,79,No data,OL,Jacksonville,FL,USA,30.3321838,-81.655651,12031,34496
3917230,Logan,Hunt,Georgia Southern,74,270,91,4,DE,Sandersville,GA,USA,32.9832812,-82.8116031,13303,33131
3917231,J.B.,Kouassi,Georgia Southern,74,240,44,3,DE,Norcross,GA,USA,33.9412127,-84.2135309,13135,33114
4036646,Monquavion,Brinson,Georgia Southern,71,190,4,4,CB,Atlanta,GA,USA,33.7490987,-84.3901849,13121,36073
4036649,Martial,Washington,Georgia Southern,75,210,17,2,S,Riceboro,GA,USA,31.7354935,-81.4334408,13179,36620
4036651,Kindle,Vildor,Georgia Southern,71,190,20,4,CB,College Park,GA,USA,33.6534427,-84.4493725,13121,36927
4036653,Mark,Michaud,Georgia Southern,76,220,23,4,WR,Spring Valley,NY,USA,41.1130231,-74.0437839,36087,37178
4036655,Amari,Thompson,Georgia Southern,74,200,28,3,S,Minneola,FL,USA,28.5744441,-81.7461873,12069,37914
4036661,Randy,Wade Jr.,Georgia Southern,74,275,47,4,LB,Blakely,GA,USA,31.3776754,-84.934092,13099,37304
4036663,Todd,Bradley,Georgia Southern,72,225,11,4,LB,Valdosta,GA,USA,30.8327022,-83.2784851,13185,36937
4036664,Rashad,Byrd,Georgia Southern,72,230,45,4,LB,North Augusta,SC,USA,33.520849999999996,-81.96696923114902,45003,37538
4036668,Traver,Vliem,Georgia Southern,76,260,49,4,DE,Midland,TX,USA,31.9973662,-102.0779482,48329,36849
4036669,Alvin,Ward Jr.,Georgia Southern,76,235,42,3,LB,Ahoskie,NC,USA,36.2868223,-76.9846808,37091,37997
4036670,Drew,Wilson,Georgia Southern,76,305,61,4,OL,Bamberg,SC,USA,33.2971012,-81.0348202,45009,36063
4036672,Alex,Smith,Georgia Southern,76,290,67,4,OL,Woodstock,GA,USA,34.1014112,-84.5192192,13057,37918
4036675,Lawrence,Edwards,Georgia Southern,78,310,74,4,OL,Port Orange,FL,USA,29.101628050000002,-81.01059617608054,12127,36301
4036676,Darion,Anderson,Georgia Southern,72,200,9,4,WR,Warner Robins,GA,USA,32.6200973,-83.606568,13153,35650
4036684,Ty,Phillips,Georgia Southern,75,290,96,4,NT,Moultrie,GA,USA,31.179998,-83.7887928,13071,67608
4042132,Aaron,Dowdell,Georgia Southern,76,305,51,4,OL,Atlanta,GA,USA,33.7490987,-84.3901849,13121,35618
4241128,Melton,Brown Jr.,Georgia Southern,75,260,94,No data,DT,Louisville,GA,USA,33.0015407,-82.4112377,13163,41237
4241133,Chris,Harris Jr.,Georgia Southern,73,235,32,4,LB,Savannah,GA,USA,32.0809263,-81.0911768,13051,40855
4241135,Raymond,Johnson III,Georgia Southern,75,270,No data,4,DE,Sumter,SC,USA,33.9204354,-80.3414693,45085,40334
4241144,Grant,Walker,Georgia Southern,73,210,7,1,RB,Ellenwood,GA,USA,33.6101096,-84.287978,13063,40205
4241903,Bryce,Cross,Georgia Southern,71,180,40,1,CB,Alpharetta,GA,USA,34.0709576,-84.2747329,13121,40720
4373609,Josh,Johnson,Georgia Southern,77,No data,99,No data,DE,Suwanee,GA,USA,34.0514898,-84.0712997,13135,41207
