ID,First_name,Last_name,Team,Height,Weight,Jersey,Year,Position,Home_city,Home_state,Home_country,Home_latitude,Home_longitude,Home_county_fips,Recruit_ids
3125746,Clint,Stephens,Bowling Green,71,183,2,4,DB,West Palm Beach,FL,USA,26.715364,-80.0532942,12099,29738
3125753,Jack,Walz III,Bowling Green,71,191,36,4,WR,Cleveland,OH,USA,41.5051613,-81.6934446,39035,30290
3125754,Ben,Hale,Bowling Green,75,200,19,4,DB,Columbus,OH,USA,39.9622601,-83.0007065,39049,31084
3125757,Brian,Sanders,Bowling Green,76,255,58,4,DL,Detroit,MI,USA,42.3315509,-83.0466403,26163,30318
3125759,Austin,Labus,Bowling Green,78,295,64,4,OL,Portage,MI,USA,42.2011538,-85.5800022,26077,30950
3914389,Brandon,Harris,Bowling Green,76,220,1,4,LB,East Cleveland,OH,USA,41.5331066,-81.5790137,39035,33945
3914390,Robert,Jackson Jr.,Bowling Green,71,180,22,4,DB,Ft. Washington,MD,USA,38.71108155,-77.03468414657245,24033,34897
3914394,Jamari,Bozeman,Bowling Green,74,190,13,4,DB,West Palm Beach,FL,USA,26.715364,-80.0532942,12099,34167
3914397,Scott,Miller,Bowling Green,70,160,21,4,WR,Barrington,IL,USA,42.1539141,-88.1361888,17031,66986
3914398,Antonyo,Sotolongo,Bowling Green,73,207,21,4,DB,Miami,FL,USA,25.7742658,-80.1936589,12086,33128
3914410,Nico,Lautanen,Bowling Green,75,278,54,4,DL,Mentor,OH,USA,41.6661573,-81.339552,39085,34136
3914411,Jack,Kramer,Bowling Green,75,301,65,4,OL,Plainfield,IL,USA,41.6086711,-88.2054345,17197,33972
3914416,Deric,Phouthavong,Bowling Green,77,205,89,4,WR,Columbus,OH,USA,39.9622601,-83.0007065,39049,33971
3914418,Kyle,Junior,Bowling Green,75,305,93,4,DL,Middletown,OH,USA,39.5150576,-84.3982763,39017,34584
3921682,Malik,Hayes,Bowling Green,76,232,36,No data,LB,San Diego,CA,USA,32.7174209,-117.1627714,06073,33866
4035075,Roland,Walder,Bowling Green,75,250,9,4,DL,Dayton,OH,USA,39.7589478,-84.1916069,39113,36513
4035747,Jerry,McBride III,Bowling Green,74,207,7,4,DB,Hannibal,MO,USA,39.7082498,-91.3587413,29127,37665
4035749,Torrian,Hampton,Bowling Green,76,216,10,3,LB,Lakeland,FL,USA,28.0394654,-81.9498042,12105,37469
4035753,Caleb,Bright,Bowling Green,76,282,55,3,OL,Urbandale,IA,USA,41.6274552,-93.7380624,19153,36898
4046744,Bryson,Denley,Bowling Green,70,180,12,4,RB,Cibolo,TX,USA,29.5707831,-98.2330927,48187,36220
4244029,Jarret,Doege,Bowling Green,74,208,2,3,QB,Lubbock,TX,USA,33.5635206,-101.879336,48303,40175
4244033,Cedric,Mitchell,Bowling Green,73,195,11,3,DB,Elkhart,IN,USA,41.6819935,-85.9766671,18039,39766
4244034,Colin,DeBord,Bowling Green,73,184,16,1,WR,Centerville,OH,USA,39.6283928,-84.1593818,39113,41735
4244036,Jordan,Murphy,Bowling Green,76,275,20,3,DL,Columbiana,OH,USA,40.8886356,-80.6935916,39029,40240
4244037,Darius,Wortham,Bowling Green,72,165,3,2,DB,Trotwood,OH,USA,39.7972788,-84.3113334,39113,41722
4244038,Andrew,Clair,Bowling Green,71,202,1,3,RB,Saint Louis,MO,USA,38.6264178,-90.1998378,29510,40485
4244039,Jerry,Roberts,Bowling Green,76,235,33,3,LB,Erie,PA,USA,42.1294712,-80.0852695,42049,42519
4244041,James,Carolan,Bowling Green,71,200,48,4,LS,Anthem,AZ,USA,33.857492,-112.11359410473517,04013,42421
4244042,Kholbe,Coleman,Bowling Green,72,233,55,4,LB,Hoover,AL,USA,33.3848933,-86.8070484,01073,41153
4244043,Walter,Haire,Bowling Green,75,275,56,3,DL,Indianapolis,IN,USA,39.7683331,-86.1583502,18097,41551
4244045,Sam,Neverov,Bowling Green,78,317,63,3,OL,Dublin,OH,USA,40.0992294,-83.1140771,39049,42520
4244046,Zach,Dziengelewski,Bowling Green,76,274,71,2,OL,Swanton,OH,USA,41.5906822,-83.8931809,39051,41777
4244047,Derek,Downs,Bowling Green,80,305,72,3,OL,Westerville,OH,USA,40.126139,-82.9295287,39049,42522
4244049,Quintin,Morris,Bowling Green,76,251,80,4,TE,Richmond,TX,USA,29.5821811,-95.7607832,48157,40534
4260358,Melvin,Jackson III,Bowling Green,72,185,22,4,DB,Sandusky,OH,USA,41.4489397,-82.7079605,39043,41741
4362121,James,Harris Jr.,Bowling Green,73,177,16,1,DB,Pompano Beach,FL,USA,26.2378597,-80.1247667,12011,44820
4362122,Hassan,Belton,Bowling Green,73,210,26,3,LB,Columbia,SC,USA,34.0007493,-81.0343313,45079,33994
4373420,Noah,Massey,Bowling Green,76,225,5,2,WR,Houston,TX,USA,29.7589382,-95.3676974,48201,44932
4373421,Ra'veion,Hargrove,Bowling Green,66,No data,6,No data,RB,Trotwood,OH,USA,39.7972788,-84.3113334,39113,44532
4373431,Rico,Frye,Bowling Green,69,No data,28,No data,RB,Cartersville,GA,USA,34.1650972,-84.7999383,13015,44210
4373436,Caleb,Biggers,Bowling Green,71,195,2,3,DB,Prince Frederick,MD,USA,38.5405535,-76.58350705292793,24009,45706
4390189,Karl,Brooks,Bowling Green,76,No data,44,No data,DL,Lansing,MI,USA,42.7337712,-84.5553805,26065,44248
