ID,First_name,Last_name,Team,Height,Weight,Jersey,Year,Position,Home_city,Home_state,Home_country,Home_latitude,Home_longitude,Home_county_fips,Recruit_ids
3883825,Nnamdi,Oguayo,Washington State,75,260,30,4,DL,Beltsville,MD,USA,39.0299081,-76.9149547,24033,34330
4039487,Daniel,Isom,Washington State,72,199,3,4,DB,St. Louis,MO,USA,38.6268039,-90.1994097,29510,37164
4039487,Daniel,Isom,Washington State,72,199,3,4,DB,St. Louis,MO,USA,38.6268039,-90.1994097,29510,56563
4043092,Justus,Rogers,Washington State,74,232,37,4,LB,Bellevue,WA,USA,47.6144219,-122.1923372,53033,36496
4046677,Deon,McIntosh,Washington State,72,190,3,4,RB,Pompano Beach,FL,USA,26.2378597,-80.1247667,12011,35956
4055165,Renard,Bell,Washington State,68,161,9,4,WR,Los Angeles,CA,USA,34.0536909,-118.2427666,06037,36156
4055187,Liam,Ryan,Washington State,77,300,63,4,OL,Chino Hills,CA,USA,33.9926803,-117.760056,06071,37279
4055189,Marcus,Strong,Washington State,70,185,4,4,CB,Rialto,CA,USA,34.1064001,-117.3703235,06071,36668
4055190,Skyler,Thomas,Washington State,70,185,5,4,S,Riverside,CA,USA,33.9533546,-117.3961623,06065,36630
4055193,Josh,Watson,Washington State,76,285,65,4,OL,Everett,WA,USA,47.9673056,-122.2013998,53061,36377
4055194,Jahad,Woods,Washington State,73,230,13,4,LB,San Diego,CA,USA,32.7174209,-117.1627714,06073,36434
4241882,Lamonte,McDougle,Washington State,72,291,9,2,DL,Pompano Beach,FL,USA,26.2378597,-80.1247667,12011,39554
4245146,Travell,Harris,Washington State,69,180,1,3,WR,Tampa,FL,USA,27.9477595,-82.458444,12057,40707
4245148,John,Bledsoe,Washington State,75,215,11,2,QB,Bend,OR,USA,44.0581728,-121.3153096,41017,42754
4245151,Dominick,Silvels,Washington State,75,230,20,3,RB,San Diego,CA,USA,32.7174209,-117.1627714,06073,40011
4245154,Armani,Marsh,Washington State,70,177,8,3,DB,Spokane,WA,USA,47.6579425,-117.4212265,53063,42404
4245159,Damion,Lee,Washington State,72,206,39,3,DB,Palm Springs,CA,USA,33.8246269,-116.540303,06065,40232
4245163,Fa'avae,Fa'avae,Washington State,72,230,58,2,LB,Carson,CA,USA,33.8322043,-118.2517547,06037,39528
4245164,Cole,Dubots,Washington State,73,203,23,3,RB,Murrieta,CA,USA,33.577752399999994,-117.18845420205307,06065,40082
4245165,Brian,Greene,Washington State,75,300,50,3,OL,Yakima,WA,USA,46.601557,-120.5108421,53077,41779
4245171,Abraham,Lucas,Washington State,79,328,72,3,OL,Everett,WA,USA,47.9673056,-122.2013998,53061,39086
4245176,Will,Rodgers III,Washington State,76,255,92,4,DE,Saginaw,MI,USA,43.4200387,-83.9490365,26145,67852
4245177,Christian,Mejia,Washington State,75,285,93,3,DL,Kailua,HI,USA,21.394833,-157.72989134661873,15003,40459
4245179,Dallas,Hobbs,Washington State,78,285,98,3,DL,Cedar Rapids,IA,USA,41.9758872,-91.6704053,19113,40920
4283220,Jesus,Echevarria,Washington State,74,291,78,3,DL,Everett,WA,USA,47.9673056,-122.2013998,53061,42660
4361141,Cammon,Cooper,Washington State,76,208,2,2,QB,Lehi,UT,USA,40.3880902,-111.8491619,49049,43270
4361142,Max,Borghi,Washington State,70,198,21,3,RB,Arvada,CO,USA,39.8211225,-105.22074299044587,08059,43493
4361147,Rodrick,Fisher,Washington State,74,195,88,1,WR,Spokane Valley,WA,USA,47.6571104,-117.2613936,53063,43245
4373463,Cade,Beresford,Washington State,79,300,75,2,OL,Woodinville,WA,USA,47.7545827,-122.1588902,53033,43725
4373464,Ahmir,Crowder,Washington State,75,297,54,2,DL,Los Angeles,CA,USA,34.0536909,-118.2427666,06037,44012
4373466,Halid,Djibril,Washington State,73,194,42,2,DB,Los Angeles,CA,USA,34.0536909,-118.2427666,06037,43598
4373467,Brandon,Gray,Washington State,77,198,83,2,WR,Detroit,MI,USA,42.3315509,-83.0466403,26163,43741
4373471,Brennan,Jackson,Washington State,76,249,80,2,DE,Temecula,CA,USA,33.4946353,-117.1473661,06065,43929
4373474,Jarrett,Kingston,Washington State,77,296,52,2,OL,Anderson,CA,USA,40.448208,-122.2977815,06089,44746
4373475,Blake,McDonald,Washington State,77,306,79,2,OL,Danville,CA,USA,37.8215929,-121.9999606,06013,43730
4373478,Patrick,Nunn,Washington State,76,210,No data,2,DB,San Mateo,CA,USA,37.5439684,-122.3066789,06081,44032
4373479,William,Overstreet,Washington State,70,176,21,2,DB,Pleasant Grove,UT,USA,40.3641184,-111.73854,49049,45191
4373481,Mitchell,Quinn,Washington State,71,170,15,2,WR,Honolulu,HI,USA,21.304547,-157.8556764,15003,46610
4373482,Syr,Riley,Washington State,76,323,78,2,OL,Los Angeles,CA,USA,34.0536909,-118.2427666,06037,44443
4373483,Tyrese,Ross,Washington State,74,181,1,2,DB,Jacksonville,FL,USA,30.3321838,-81.655651,12031,44094
4373485,Ron,Stone Jr.,Washington State,75,234,10,2,DE,San Jose,CA,USA,37.3361905,-121.8905833,06085,43568
4373489,Kassidy,Woods,Washington State,76,225,17,1,WR,Addison,TX,USA,32.9604305,-96.83025951893629,48113,43707
4379477,Hunter,Mayginnes,Washington State,77,308,61,2,OL,Chandler,AZ,USA,33.3062223,-111.8413317,04013,44364
